"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"120001","ACRELÂNDIA","AC","2021","1794","","1794468","","1000,26",""
"120001","ACRELÂNDIA","AC","2013","1757","","3284816","","1869,56",""
"120001","ACRELÂNDIA","AC","2020","1785","","1125789,00","","630,69",""
"120001","ACRELÂNDIA","AC","2014","1823","","3948296","","2165,82",""
"120001","ACRELÂNDIA","AC","2019","1609","","4013237,00","","2494,24",""
"120001","ACRELÂNDIA","AC","2018","1855","","4629810","","2495,85",""
"120001","ACRELÂNDIA","AC","2015","1924","","4301872","","2235,90",""
"120001","ACRELÂNDIA","AC","2016","1789","","4359371,00","","2436,76",""
"120001","ACRELÂNDIA","AC","2017","1670","","4085844","","2446,61",""
"120005","ASSIS BRASIL","AC","2020","1413","","2009333,00","","1422,03",""
"120005","ASSIS BRASIL","AC","2018","1398","","4776154","","3416,42",""
"120005","ASSIS BRASIL","AC","2015","944","","3478290","","3684,63",""
"120005","ASSIS BRASIL","AC","2021","1406","","3681780","","2618,62",""
"120005","ASSIS BRASIL","AC","2013","967","","2775534","","2870,25",""
"120005","ASSIS BRASIL","AC","2016","1052","","3854550,00","","3664,02",""
"120005","ASSIS BRASIL","AC","2019","1416","","5297451,00","","3741,14",""
"120005","ASSIS BRASIL","AC","2017","1231","","4138812","","3362,15",""
"120005","ASSIS BRASIL","AC","2014","920","","3350868","","3642,25",""
"120010","BRASILÉIA","AC","2021","3280","","4078198","","1243,35",""
"120010","BRASILÉIA","AC","2020","3341","","2260327,00","","676,54",""
"120010","BRASILÉIA","AC","2013","3166","","5774764","","1823,99",""
"120010","BRASILÉIA","AC","2016","3591","","8334045,00","","2320,81",""
"120010","BRASILÉIA","AC","2018","3374","","7989292","","2367,90",""
"120010","BRASILÉIA","AC","2015","3388","","7474060","","2206,04",""
"120010","BRASILÉIA","AC","2017","3610","","8885514","","2461,36",""
"120010","BRASILÉIA","AC","2014","3219","","7190134","","2233,65",""
"120010","BRASILÉIA","AC","2019","3126","","7681260,00","","2457,22",""
"120013","BUJARI","AC","2019","1395","","3689534,00","","2644,83",""
"120013","BUJARI","AC","2021","1314","","1872127","","1424,75",""
"120013","BUJARI","AC","2017","1398","","3456819","","2472,69",""
"120013","BUJARI","AC","2020","1363","","1225115,00","","898,84",""
"120013","BUJARI","AC","2018","1473","","3462060","","2350,35",""
"120013","BUJARI","AC","2016","1311","","3129612,00","","2387,19",""
"120013","BUJARI","AC","2014","1189","","2861125","","2406,33",""
"120013","BUJARI","AC","2015","1248","","2909192","","2331,08",""
"120013","BUJARI","AC","2013","1165","","2443222","","2097,19",""
"120017","CAPIXABA","AC","2013","1200","","2305448","","1921,21",""
"120017","CAPIXABA","AC","2014","1252","","2593780","","2071,71",""
"120017","CAPIXABA","AC","2021","1362","","1663584","","1221,43",""
"120017","CAPIXABA","AC","2020","1383","","1165503,00","","842,74",""
"120017","CAPIXABA","AC","2017","1297","","2699775","","2081,55",""
"120017","CAPIXABA","AC","2019","1495","","3645856,00","","2438,70",""
"120017","CAPIXABA","AC","2016","1148","","2488887,00","","2168,02",""
"120017","CAPIXABA","AC","2015","1185","","2550026","","2151,92",""
"120017","CAPIXABA","AC","2018","1381","","3136968","","2271,52",""
"120020","CRUZEIRO DO SUL","AC","2014","9563","","30492528","","3188,59",""
"120020","CRUZEIRO DO SUL","AC","2015","9394","","31920658","","3397,98",""
"120020","CRUZEIRO DO SUL","AC","2018","10797","","39241366","","3634,47",""
"120020","CRUZEIRO DO SUL","AC","2020","10313","","14206338,00","","1377,52",""
"120020","CRUZEIRO DO SUL","AC","2013","9514","","26059062","","2739,02",""
"120020","CRUZEIRO DO SUL","AC","2016","9830","","35252245,00","","3586,19",""
"120020","CRUZEIRO DO SUL","AC","2021","10230","","27274282","","2666,11",""
"120020","CRUZEIRO DO SUL","AC","2017","10528","","37423687","","3554,68",""
"120020","CRUZEIRO DO SUL","AC","2019","10465","","40504226,00","","3870,45",""
"120025","EPITACIOLÂNDIA","AC","2015","1703","","3835234","","2252,05",""
"120025","EPITACIOLÂNDIA","AC","2019","1760","","4374306,00","","2485,40",""
"120025","EPITACIOLÂNDIA","AC","2014","1619","","3590154","","2217,51",""
"120025","EPITACIOLÂNDIA","AC","2013","1580","","2761892","","1748,03",""
"120025","EPITACIOLÂNDIA","AC","2017","1594","","3729643","","2339,80",""
"120025","EPITACIOLÂNDIA","AC","2016","1590","","3849023,00","","2420,77",""
"120025","EPITACIOLÂNDIA","AC","2020","1938","","1248539,00","","644,24",""
"120025","EPITACIOLÂNDIA","AC","2021","1944","","2195710","","1129,48",""
"120025","EPITACIOLÂNDIA","AC","2018","1750","","4056968","","2318,27",""
"120030","FEIJÓ","AC","2017","5328","","20564129","","3859,63",""
"120030","FEIJÓ","AC","2013","4565","","10667500","","2336,80",""
"120030","FEIJÓ","AC","2020","4919","","5704066,00","","1159,60",""
"120030","FEIJÓ","AC","2014","4767","","16016749","","3359,92",""
"120030","FEIJÓ","AC","2021","4828","","11339535","","2348,70",""
"120030","FEIJÓ","AC","2019","4715","","18017654,00","","3821,35",""
"120030","FEIJÓ","AC","2015","5144","","17233415","","3350,20",""
"120030","FEIJÓ","AC","2016","5330","","19659248,00","","3688,41",""
"120030","FEIJÓ","AC","2018","5010","","19222265","","3836,78",""
"120032","JORDÃO","AC","2015","1098","","4131610","","3762,85",""
"120032","JORDÃO","AC","2018","1312","","5583933","","4256,05",""
"120032","JORDÃO","AC","2021","1362","","4714741","","3461,63",""
"120032","JORDÃO","AC","2013","1106","","3531378","","3192,93",""
"120032","JORDÃO","AC","2020","1328","","2422701,00","","1824,32",""
"120032","JORDÃO","AC","2014","1110","","3953769","","3561,95",""
"120032","JORDÃO","AC","2017","1243","","4947323","","3980,15",""
"120032","JORDÃO","AC","2016","1140","","4526448,00","","3970,57",""
"120032","JORDÃO","AC","2019","1321","","6035895,00","","4569,19",""
"120033","MÂNCIO LIMA","AC","2017","3144","","11688709","","3717,78",""
"120033","MÂNCIO LIMA","AC","2014","2490","","8769931","","3522,06",""
"120033","MÂNCIO LIMA","AC","2013","2459","","8137894","","3309,43",""
"120033","MÂNCIO LIMA","AC","2021","3209","","9669443","","3013,23",""
"120033","MÂNCIO LIMA","AC","2020","3218","","4645773,00","","1443,68",""
"120033","MÂNCIO LIMA","AC","2019","3221","","12782234,00","","3968,41",""
"120033","MÂNCIO LIMA","AC","2018","3222","","12549102","","3894,82",""
"120033","MÂNCIO LIMA","AC","2015","2470","","9174819","","3714,50",""
"120033","MÂNCIO LIMA","AC","2016","2766","","10555652,00","","3816,22",""
"120034","MANOEL URBANO","AC","2019","1747","","7033500,00","","4026,04",""
"120034","MANOEL URBANO","AC","2013","1198","","3792620","","3165,79",""
"120034","MANOEL URBANO","AC","2015","1277","","4981807","","3901,18",""
"120034","MANOEL URBANO","AC","2018","1787","","6707977","","3753,76",""
"120034","MANOEL URBANO","AC","2016","1392","","5678800,00","","4079,60",""
"120034","MANOEL URBANO","AC","2021","1724","","5156589","","2991,06",""
"120034","MANOEL URBANO","AC","2014","1281","","4633106","","3616,79",""
"120034","MANOEL URBANO","AC","2017","1630","","6309280","","3870,72",""
"120034","MANOEL URBANO","AC","2020","1727","","2609932,00","","1511,25",""
"120035","MARECHAL THAUMATURGO","AC","2021","2760","","7375647","","2672,34",""
"120035","MARECHAL THAUMATURGO","AC","2018","2865","","10087620","","3520,98",""
"120035","MARECHAL THAUMATURGO","AC","2015","2370","","8440872","","3561,55",""
"120035","MARECHAL THAUMATURGO","AC","2019","2767","","10294735,00","","3720,54",""
"120035","MARECHAL THAUMATURGO","AC","2016","2546","","9486042,00","","3725,86",""
"120035","MARECHAL THAUMATURGO","AC","2017","2721","","10093954","","3709,65",""
"120035","MARECHAL THAUMATURGO","AC","2014","2371","","8061463","","3400,03",""
"120035","MARECHAL THAUMATURGO","AC","2020","2774","","3807369,00","","1372,52",""
"120035","MARECHAL THAUMATURGO","AC","2013","2227","","5840158","","2622,43",""
"120038","PLÁCIDO DE CASTRO","AC","2015","1807","","3714605","","2055,68",""
"120038","PLÁCIDO DE CASTRO","AC","2018","1636","","3613496","","2208,74",""
"120038","PLÁCIDO DE CASTRO","AC","2020","1626","","925648,00","","569,28",""
"120038","PLÁCIDO DE CASTRO","AC","2016","1715","","3828276,00","","2232,23",""
"120038","PLÁCIDO DE CASTRO","AC","2017","1707","","3883750","","2275,19",""
"120038","PLÁCIDO DE CASTRO","AC","2014","1754","","3640068","","2075,30",""
"120038","PLÁCIDO DE CASTRO","AC","2013","1832","","3402798","","1857,42",""
"120038","PLÁCIDO DE CASTRO","AC","2021","1647","","1460062","","886,50",""
"120038","PLÁCIDO DE CASTRO","AC","2019","1504","","3342298,00","","2222,27",""
"120039","PORTO WALTER","AC","2013","1180","","3750204","","3178,14",""
"120039","PORTO WALTER","AC","2020","1502","","2234616,00","","1487,76",""
"120039","PORTO WALTER","AC","2018","1555","","5454041","","3507,42",""
"120039","PORTO WALTER","AC","2016","1358","","4997428,00","","3679,99",""
"120039","PORTO WALTER","AC","2015","1289","","4572436","","3547,27",""
"120039","PORTO WALTER","AC","2017","1481","","5197291","","3509,31",""
"120039","PORTO WALTER","AC","2014","1273","","4387655","","3446,70",""
"120039","PORTO WALTER","AC","2019","1512","","5922622,00","","3917,08",""
"120039","PORTO WALTER","AC","2021","1480","","4361724","","2947,11",""
"120040","RIO BRANCO","AC","2016","25188","","58488927,00","","2322,09",""
"120040","RIO BRANCO","AC","2019","22217","","62952271,00","","2833,52",""
"120040","RIO BRANCO","AC","2015","25590","","52562735","","2054,03",""
"120040","RIO BRANCO","AC","2018","24048","","59245589","","2463,64",""
"120040","RIO BRANCO","AC","2014","23808","","49943471","","2097,76",""
"120040","RIO BRANCO","AC","2017","22926","","57073369","","2489,46",""
"120040","RIO BRANCO","AC","2013","24844","","45770356","","1842,31",""
"120040","RIO BRANCO","AC","2020","25493","","19840974,00","","778,29",""
"120040","RIO BRANCO","AC","2021","26229","","36829760","","1404,16",""
"120042","RODRIGUES ALVES","AC","2019","2429","","8809075,00","","3626,63",""
"120042","RODRIGUES ALVES","AC","2015","2247","","5996992","","2668,89",""
"120042","RODRIGUES ALVES","AC","2018","2488","","8130114","","3267,73",""
"120042","RODRIGUES ALVES","AC","2021","2548","","6226904","","2443,84",""
"120042","RODRIGUES ALVES","AC","2016","2344","","6752571,00","","2880,79",""
"120042","RODRIGUES ALVES","AC","2013","2139","","5476866","","2560,48",""
"120042","RODRIGUES ALVES","AC","2014","2157","","5655364","","2621,87",""
"120042","RODRIGUES ALVES","AC","2017","2435","","7432886","","3052,52",""
"120042","RODRIGUES ALVES","AC","2020","2570","","3165318,00","","1231,64",""
"120043","SANTA ROSA DO PURUS","AC","2015","642","","2894399","","4508,41",""
"120043","SANTA ROSA DO PURUS","AC","2018","1087","","4639551","","4268,22",""
"120043","SANTA ROSA DO PURUS","AC","2013","628","","2259018","","3597,16",""
"120043","SANTA ROSA DO PURUS","AC","2017","962","","3874097","","4027,13",""
"120043","SANTA ROSA DO PURUS","AC","2014","638","","2659599","","4168,65",""
"120043","SANTA ROSA DO PURUS","AC","2016","692","","3077832,00","","4447,73",""
"120043","SANTA ROSA DO PURUS","AC","2020","1127","","2189870,00","","1943,10",""
"120043","SANTA ROSA DO PURUS","AC","2021","1154","","4055399","","3514,21",""
"120043","SANTA ROSA DO PURUS","AC","2019","1124","","5076088,00","","4516,09",""
"120045","SENADOR GUIOMARD","AC","2021","3984","","6542762","","1642,26",""
"120045","SENADOR GUIOMARD","AC","2020","4047","","4044232,00","","999,32",""
"120045","SENADOR GUIOMARD","AC","2019","4217","","12935697,00","","3067,51",""
"120045","SENADOR GUIOMARD","AC","2014","2460","","5820548","","2366,08",""
"120045","SENADOR GUIOMARD","AC","2015","2360","","6450888","","2733,43",""
"120045","SENADOR GUIOMARD","AC","2013","2302","","4996430","","2170,47",""
"120045","SENADOR GUIOMARD","AC","2016","2563","","7945597,00","","3100,12",""
"120045","SENADOR GUIOMARD","AC","2018","4316","","12442971","","2882,99",""
"120045","SENADOR GUIOMARD","AC","2017","3822","","10638758","","2783,56",""
"120050","SENA MADUREIRA","AC","2021","6779","","16297065","","2404,05",""
"120050","SENA MADUREIRA","AC","2019","6920","","23381239,00","","3378,79",""
"120050","SENA MADUREIRA","AC","2016","5373","","17554833,00","","3267,23",""
"120050","SENA MADUREIRA","AC","2020","6869","","8098643,00","","1179,01",""
"120050","SENA MADUREIRA","AC","2018","6873","","21064786","","3064,86",""
"120050","SENA MADUREIRA","AC","2013","5285","","12561106","","2376,75",""
"120050","SENA MADUREIRA","AC","2015","5312","","15744587","","2963,97",""
"120050","SENA MADUREIRA","AC","2014","5285","","14990327","","2836,39",""
"120050","SENA MADUREIRA","AC","2017","6178","","18740253","","3033,39",""
"120060","TARAUACÁ","AC","2014","5237","","18867237","","3602,68",""
"120060","TARAUACÁ","AC","2017","6560","","24878798","","3792,50",""
"120060","TARAUACÁ","AC","2019","7383","","30292462,00","","4103,00",""
"120060","TARAUACÁ","AC","2013","4838","","12581876","","2600,64",""
"120060","TARAUACÁ","AC","2018","7255","","27766046","","3827,16",""
"120060","TARAUACÁ","AC","2015","5128","","20334176","","3965,32",""
"120060","TARAUACÁ","AC","2020","7266","","11449086,00","","1575,71",""
"120060","TARAUACÁ","AC","2021","7179","","21830917","","3040,94",""
"120060","TARAUACÁ","AC","2016","5692","","23034866,00","","4046,88",""
"120070","XAPURI","AC","2019","1977","","4782225,00","","2418,93",""
"120070","XAPURI","AC","2013","1826","","3674126","","2012,12",""
"120070","XAPURI","AC","2014","1896","","4316142","","2276,45",""
"120070","XAPURI","AC","2020","2090","","1348230,00","","645,09",""
"120070","XAPURI","AC","2016","1990","","4491745,00","","2257,16",""
"120070","XAPURI","AC","2021","2059","","2277171","","1105,96",""
"120070","XAPURI","AC","2017","1945","","4514093","","2320,87",""
"120070","XAPURI","AC","2018","2020","","4558326","","2256,60",""
"120070","XAPURI","AC","2015","1932","","4383500","","2268,89",""
"120080","PORTO ACRE","AC","2014","2449","","6195445","","2529,79",""
"120080","PORTO ACRE","AC","2016","2395","","6196729,00","","2587,36",""
"120080","PORTO ACRE","AC","2021","2616","","3705939","","1416,64",""
"120080","PORTO ACRE","AC","2020","2645","","2145732,00","","811,24",""
"120080","PORTO ACRE","AC","2013","2272","","5101704","","2245,47",""
"120080","PORTO ACRE","AC","2018","2828","","6969112","","2464,33",""
"120080","PORTO ACRE","AC","2015","2351","","6371387","","2710,08",""
"120080","PORTO ACRE","AC","2019","2667","","7074772,00","","2652,71",""
"120080","PORTO ACRE","AC","2017","2666","","6597000","","2474,49",""
"270010","ÁGUA BRANCA","AL","2018","2908","","10250665","","3524,99",""
"270010","ÁGUA BRANCA","AL","2016","2935","","9104546,00","","3102,06",""
"270010","ÁGUA BRANCA","AL","2015","2850","","8697478","","3051,75",""
"270010","ÁGUA BRANCA","AL","2020","2969","","3479820,00","","1172,05",""
"270010","ÁGUA BRANCA","AL","2017","3054","","10249227","","3356,00",""
"270010","ÁGUA BRANCA","AL","2013","3114","","8222730","","2640,57",""
"270010","ÁGUA BRANCA","AL","2014","3003","","8643479","","2878,28",""
"270010","ÁGUA BRANCA","AL","2019","2838","","10237543,00","","3607,31",""
"270010","ÁGUA BRANCA","AL","2021","3007","","7153078","","2378,81",""
"270020","ANADIA","AL","2013","2839","","4410424","","1553,51",""
"270020","ANADIA","AL","2020","2793","","1693939,00","","606,49",""
"270020","ANADIA","AL","2017","2774","","5335961","","1923,56",""
"270020","ANADIA","AL","2014","2765","","4877998","","1764,19",""
"270020","ANADIA","AL","2019","2605","","5594619,00","","2147,65",""
"270020","ANADIA","AL","2016","2713","","5066541,00","","1867,50",""
"270020","ANADIA","AL","2021","2793","","2640830","","945,52",""
"270020","ANADIA","AL","2018","2759","","5517410","","1999,79",""
"270020","ANADIA","AL","2015","2758","","4917395","","1782,96",""
"270030","ARAPIRACA","AL","2013","26023","","40836316","","1569,24",""
"270030","ARAPIRACA","AL","2018","20331","","42777231","","2104,04",""
"270030","ARAPIRACA","AL","2016","22198","","41975262,00","","1890,95",""
"270030","ARAPIRACA","AL","2015","23946","","43147535","","1801,87",""
"270030","ARAPIRACA","AL","2020","19876","","11865908,00","","597,00",""
"270030","ARAPIRACA","AL","2021","21365","","20747032","","971,08",""
"270030","ARAPIRACA","AL","2014","24559","","44112229","","1796,17",""
"270030","ARAPIRACA","AL","2017","20461","","42608515","","2082,43",""
"270030","ARAPIRACA","AL","2019","18110","","41789747,00","","2307,55",""
"270040","ATALAIA","AL","2019","7381","","16997867,00","","2302,92",""
"270040","ATALAIA","AL","2017","7429","","15453012","","2080,09",""
"270040","ATALAIA","AL","2014","7782","","16237736","","2086,58",""
"270040","ATALAIA","AL","2016","7237","","15143104,00","","2092,46",""
"270040","ATALAIA","AL","2013","7950","","16904316","","2126,33",""
"270040","ATALAIA","AL","2020","7642","","5162869,00","","675,59",""
"270040","ATALAIA","AL","2015","7601","","14803906","","1947,63",""
"270040","ATALAIA","AL","2018","7896","","17284349","","2189,00",""
"270040","ATALAIA","AL","2021","7599","","7675051","","1010,01",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2015","2589","","5702176","","2202,46",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2016","2725","","6102540,00","","2239,46",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2018","4021","","8485844","","2110,38",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2013","2513","","4422744","","1759,95",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2019","3840","","8766696,00","","2282,99",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2017","3416","","7144902","","2091,60",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2014","2701","","5215729","","1931,04",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2020","3768","","2597948,00","","689,48",""
"270050","BARRA DE SANTO ANTÔNIO","AL","2021","3750","","3724798","","993,28",""
"270060","BARRA DE SÃO MIGUEL","AL","2014","977","","1889676","","1934,16",""
"270060","BARRA DE SÃO MIGUEL","AL","2013","916","","1628634","","1777,98",""
"270060","BARRA DE SÃO MIGUEL","AL","2017","1195","","2541802","","2127,03",""
"270060","BARRA DE SÃO MIGUEL","AL","2019","1209","","3034636,00","","2510,04",""
"270060","BARRA DE SÃO MIGUEL","AL","2020","1227","","1019929,00","","831,24",""
"270060","BARRA DE SÃO MIGUEL","AL","2016","930","","2209333,00","","2375,63",""
"270060","BARRA DE SÃO MIGUEL","AL","2021","1232","","1568856","","1273,42",""
"270060","BARRA DE SÃO MIGUEL","AL","2015","906","","1991829","","2198,49",""
"270060","BARRA DE SÃO MIGUEL","AL","2018","1317","","2813318","","2136,16",""
"270070","BATALHA","AL","2021","3187","","4843527","","1519,78",""
"270070","BATALHA","AL","2017","3327","","8739774","","2626,92",""
"270070","BATALHA","AL","2019","3251","","8962522,00","","2756,85",""
"270070","BATALHA","AL","2016","2997","","8281939,00","","2763,41",""
"270070","BATALHA","AL","2014","2887","","7122672","","2467,15",""
"270070","BATALHA","AL","2015","2754","","7448436","","2704,59",""
"270070","BATALHA","AL","2018","3375","","8952163","","2652,49",""
"270070","BATALHA","AL","2013","2893","","6344592","","2193,08",""
"270070","BATALHA","AL","2020","3189","","2701862,00","","847,24",""
"270080","BELÉM","AL","2021","854","","1178115","","1379,53",""
"270080","BELÉM","AL","2013","729","","1408106","","1931,56",""
"270080","BELÉM","AL","2016","746","","1682219,00","","2254,99",""
"270080","BELÉM","AL","2014","741","","1549494","","2091,09",""
"270080","BELÉM","AL","2017","822","","1860287","","2263,12",""
"270080","BELÉM","AL","2018","894","","2092263","","2340,34",""
"270080","BELÉM","AL","2015","745","","1567180","","2103,60",""
"270080","BELÉM","AL","2019","865","","2218991,00","","2565,31",""
"270080","BELÉM","AL","2020","853","","658042,00","","771,44",""
"270090","BELO MONTE","AL","2014","1575","","4285726","","2721,10",""
"270090","BELO MONTE","AL","2017","1418","","3928106","","2770,17",""
"270090","BELO MONTE","AL","2020","1315","","1151543,00","","875,70",""
"270090","BELO MONTE","AL","2013","1532","","3910924","","2552,82",""
"270090","BELO MONTE","AL","2021","1345","","2518464","","1872,46",""
"270090","BELO MONTE","AL","2019","1271","","3793638,00","","2984,77",""
"270090","BELO MONTE","AL","2018","1320","","3871302","","2932,80",""
"270090","BELO MONTE","AL","2015","1464","","4180412","","2855,47",""
"270090","BELO MONTE","AL","2016","1442","","4060909,00","","2816,16",""
"270100","BOCA DA MATA","AL","2014","4159","","8834459","","2124,18",""
"270100","BOCA DA MATA","AL","2016","3930","","8826745,00","","2245,99",""
"270100","BOCA DA MATA","AL","2019","3604","","9195330,00","","2551,42",""
"270100","BOCA DA MATA","AL","2017","3836","","8928179","","2327,47",""
"270100","BOCA DA MATA","AL","2020","3853","","2747006,00","","712,95",""
"270100","BOCA DA MATA","AL","2018","3794","","8877477","","2339,87",""
"270100","BOCA DA MATA","AL","2013","4225","","8103068","","1917,89",""
"270100","BOCA DA MATA","AL","2015","3901","","8594448","","2203,14",""
"270100","BOCA DA MATA","AL","2021","3960","","4618790","","1166,36",""
"270110","BRANQUINHA","AL","2016","1696","","3396687,00","","2002,76",""
"270110","BRANQUINHA","AL","2018","1942","","3828991","","1971,67",""
"270110","BRANQUINHA","AL","2015","1688","","3209374","","1901,29",""
"270110","BRANQUINHA","AL","2019","1909","","3864145,00","","2024,17",""
"270110","BRANQUINHA","AL","2014","1760","","3167120","","1799,50",""
"270110","BRANQUINHA","AL","2013","1708","","3009614","","1762,07",""
"270110","BRANQUINHA","AL","2020","1867","","1083880,00","","580,55",""
"270110","BRANQUINHA","AL","2021","1861","","1305966","","701,75",""
"270110","BRANQUINHA","AL","2017","1915","","3634821","","1898,08",""
"270120","CACIMBINHAS","AL","2017","2284","","5732658","","2509,92",""
"270120","CACIMBINHAS","AL","2014","2170","","4888116","","2252,59",""
"270120","CACIMBINHAS","AL","2021","1980","","2869431","","1449,21",""
"270120","CACIMBINHAS","AL","2016","2122","","5589847,00","","2634,24",""
"270120","CACIMBINHAS","AL","2020","1995","","1551023,00","","777,46",""
"270120","CACIMBINHAS","AL","2018","2192","","5843275","","2665,73",""
"270120","CACIMBINHAS","AL","2019","1967","","5585236,00","","2839,47",""
"270120","CACIMBINHAS","AL","2015","2129","","5342663","","2509,47",""
"270120","CACIMBINHAS","AL","2013","2002","","4159592","","2077,72",""
"270130","CAJUEIRO","AL","2021","3563","","3127955","","877,90",""
"270130","CAJUEIRO","AL","2014","3720","","6615600","","1778,39",""
"270130","CAJUEIRO","AL","2013","3480","","6197608","","1780,92",""
"270130","CAJUEIRO","AL","2020","3618","","2221243,00","","613,94",""
"270130","CAJUEIRO","AL","2016","3508","","6558732,00","","1869,65",""
"270130","CAJUEIRO","AL","2019","3401","","7358855,00","","2163,73",""
"270130","CAJUEIRO","AL","2015","3461","","6565281","","1896,93",""
"270130","CAJUEIRO","AL","2018","3720","","7320697","","1967,93",""
"270130","CAJUEIRO","AL","2017","3675","","6966247","","1895,58",""
"270135","CAMPESTRE","AL","2014","1147","","2339104","","2039,32",""
"270135","CAMPESTRE","AL","2015","1075","","2342394","","2178,97",""
"270135","CAMPESTRE","AL","2018","1471","","3267583","","2221,33",""
"270135","CAMPESTRE","AL","2016","1109","","2487705,00","","2243,20",""
"270135","CAMPESTRE","AL","2020","1382","","994747,00","","719,79",""
"270135","CAMPESTRE","AL","2017","1386","","2877136","","2075,86",""
"270135","CAMPESTRE","AL","2019","1410","","3319557,00","","2354,30",""
"270135","CAMPESTRE","AL","2021","1371","","1522238","","1110,31",""
"270135","CAMPESTRE","AL","2013","1095","","2121300","","1937,26",""
"270140","CAMPO ALEGRE","AL","2015","7117","","11029161","","1549,69",""
"270140","CAMPO ALEGRE","AL","2019","5667","","11261181,00","","1987,15",""
"270140","CAMPO ALEGRE","AL","2018","6324","","11487815","","1816,54",""
"270140","CAMPO ALEGRE","AL","2020","5934","","3201641,00","","539,54",""
"270140","CAMPO ALEGRE","AL","2016","6964","","11409384,00","","1638,34",""
"270140","CAMPO ALEGRE","AL","2017","6714","","11623911","","1731,29",""
"270140","CAMPO ALEGRE","AL","2014","7013","","10829797","","1544,25",""
"270140","CAMPO ALEGRE","AL","2013","6880","","9657444","","1403,70",""
"270140","CAMPO ALEGRE","AL","2021","6174","","4704651","","762,01",""
"270150","CAMPO GRANDE","AL","2021","2230","","4897598","","2196,23",""
"270150","CAMPO GRANDE","AL","2014","2075","","5754610","","2773,31",""
"270150","CAMPO GRANDE","AL","2013","1960","","4595944","","2344,87",""
"270150","CAMPO GRANDE","AL","2020","2245","","2297290,00","","1023,29",""
"270150","CAMPO GRANDE","AL","2015","1949","","6381226","","3274,10",""
"270150","CAMPO GRANDE","AL","2018","2363","","7694824","","3256,38",""
"270150","CAMPO GRANDE","AL","2019","2271","","7673177,00","","3378,77",""
"270150","CAMPO GRANDE","AL","2017","2341","","7464545","","3188,61",""
"270150","CAMPO GRANDE","AL","2016","2016","","7018290,00","","3481,29",""
"270160","CANAPI","AL","2015","3408","","10103121","","2964,53",""
"270160","CANAPI","AL","2017","3784","","11522091","","3044,95",""
"270160","CANAPI","AL","2018","4353","","12632301","","2901,98",""
"270160","CANAPI","AL","2016","3502","","10858101,00","","3100,54",""
"270160","CANAPI","AL","2019","4310","","13699029,00","","3178,43",""
"270160","CANAPI","AL","2013","3354","","8741518","","2606,30",""
"270160","CANAPI","AL","2014","3632","","9679729","","2665,12",""
"270160","CANAPI","AL","2021","4267","","8962398","","2100,40",""
"270160","CANAPI","AL","2020","4275","","4653649,00","","1088,57",""
"270170","CAPELA","AL","2017","2338","","5009791","","2142,77",""
"270170","CAPELA","AL","2021","2283","","2793515","","1223,62",""
"270170","CAPELA","AL","2015","2511","","5073581","","2020,54",""
"270170","CAPELA","AL","2018","2257","","5141580","","2278,06",""
"270170","CAPELA","AL","2020","2201","","1615932,00","","734,18",""
"270170","CAPELA","AL","2016","2324","","4885594,00","","2102,23",""
"270170","CAPELA","AL","2019","2126","","5176558,00","","2434,88",""
"270170","CAPELA","AL","2014","2601","","5135025","","1974,25",""
"270170","CAPELA","AL","2013","2555","","4836286","","1892,87",""
"270180","CARNEIROS","AL","2021","1674","","3674288","","2194,92",""
"270180","CARNEIROS","AL","2016","1505","","5287955,00","","3513,59",""
"270180","CARNEIROS","AL","2020","1664","","1886996,00","","1134,01",""
"270180","CARNEIROS","AL","2017","1712","","5491458","","3207,63",""
"270180","CARNEIROS","AL","2018","1773","","5729355","","3231,45",""
"270180","CARNEIROS","AL","2015","1439","","4787866","","3327,22",""
"270180","CARNEIROS","AL","2019","1688","","5919817,00","","3507,00",""
"270180","CARNEIROS","AL","2013","1418","","3817290","","2692,02",""
"270180","CARNEIROS","AL","2014","1532","","4469020","","2917,11",""
"270190","CHÃ PRETA","AL","2016","1233","","3953615,00","","3206,50",""
"270190","CHÃ PRETA","AL","2019","1217","","4021038,00","","3304,06",""
"270190","CHÃ PRETA","AL","2018","1273","","3806895","","2990,49",""
"270190","CHÃ PRETA","AL","2015","1219","","3582941","","2939,25",""
"270190","CHÃ PRETA","AL","2021","1240","","2599763","","2096,58",""
"270190","CHÃ PRETA","AL","2013","1233","","2675772","","2170,13",""
"270190","CHÃ PRETA","AL","2017","1308","","3941419","","3013,32",""
"270190","CHÃ PRETA","AL","2014","1287","","3212596","","2496,19",""
"270190","CHÃ PRETA","AL","2020","1239","","1374483,00","","1109,35",""
