NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_LOCALIZACAO;NO_DEPENDENCIA;FUN_TX_PROMOCAO_TOTAL;MED_TX_PROMOCAO_TOTAL;FUN_TX_REPETENCIA_TOTAL;MED_TX_REPETENCIA_TOTAL;FUN_TX_EVASAO_TOTAL;MED_TX_EVASAO_TOTAL
2016;Norte;RO;1100189;Pimenta Bueno;Total;Privada;99.2;100;0.8;0;0;0
2016;Norte;RO;1100189;Pimenta Bueno;Urbana;Total;85.8;76.6;10.9;9.5;1.5;8.6
2016;Norte;RO;1100189;Pimenta Bueno;Rural;Total;89;90.8;7.6;8.3;2.9;0
2016;Norte;RO;1100205;Porto Velho;Total;Total;82.5;67.2;12.7;14;2.5;9.3
2016;Norte;RO;1100205;Porto Velho;Total;Pública;80.4;63.9;14.2;15.4;2.8;10.1
2016;Norte;RO;1100205;Porto Velho;Total;Privada;95.9;90.8;3.4;4.7;0.6;3.6
2016;Norte;RO;1100205;Porto Velho;Urbana;Total;83.1;67.2;12.5;14.1;2.1;9.1
2016;Norte;RO;1100205;Porto Velho;Rural;Total;79.7;68.1;13.8;12.8;4.6;12.1
2016;Norte;RO;1100254;Presidente Médici;Total;Total;88.2;73.1;9.1;10.8;1.6;9.4
2016;Norte;RO;1100254;Presidente Médici;Total;Pública;88.2;73.1;9.1;10.8;1.6;9.4
2016;Norte;RO;1100254;Presidente Médici;Urbana;Total;86.4;73;10.8;11;1.4;8.8
2016;Norte;RO;1100254;Presidente Médici;Rural;Total;93.3;75.4;4.3;8.2;1.9;16.4
2016;Norte;RO;1100262;Rio Crespo;Total;Total;79.8;68.3;15.4;13.8;4.4;17.2
2016;Norte;RO;1100262;Rio Crespo;Total;Pública;79.8;68.3;15.4;13.8;4.4;17.2
2016;Norte;RO;1100262;Rio Crespo;Urbana;Total;79.8;68.3;15.4;13.8;4.4;17.2
2016;Norte;RO;1100288;Rolim de Moura;Total;Total;86.2;68.7;10.6;12.2;1.8;12
2016;Norte;RO;1100288;Rolim de Moura;Total;Pública;85.8;67.8;10.9;12.6;1.9;12.4
2016;Norte;RO;1100288;Rolim de Moura;Total;Privada;96.4;97.1;2.7;1.5;0;1.4
2016;Norte;RO;1100288;Rolim de Moura;Urbana;Total;86.3;68.7;10.4;12.2;1.8;12
2016;Norte;RO;1100288;Rolim de Moura;Rural;Total;84.6;--;12.2;--;2;--
2016;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Total;92.6;81.9;5.5;4.9;1.1;8
2016;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Pública;92.6;81.9;5.5;4.9;1.1;8
2016;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Total;93;81.9;5.2;4.9;1.2;8
2016;Norte;RO;1100296;Santa Luzia D'Oeste;Rural;Total;88.9;--;9.1;--;1;--
2016;Norte;RO;1100304;Vilhena;Total;Total;88.9;70.8;8.3;14.4;1.4;9.5
2016;Norte;RO;1100304;Vilhena;Total;Pública;88.2;67.6;8.9;16;1.5;10.6
2016;Norte;RO;1100304;Vilhena;Total;Privada;96.5;96.4;3.1;1.9;0.3;1.2
2016;Norte;RO;1100304;Vilhena;Urbana;Total;88.9;70.8;8.4;14.4;1.3;9.5
2016;Norte;RO;1100304;Vilhena;Rural;Total;89.7;72.7;6.9;9.1;3.3;9.1
2016;Norte;RO;1100320;São Miguel do Guaporé;Total;Total;91.6;64.4;5.8;12.9;1.5;15.7
2016;Norte;RO;1100320;São Miguel do Guaporé;Total;Pública;91.5;64.4;5.8;12.9;1.5;15.7
2016;Norte;RO;1100320;São Miguel do Guaporé;Total;Privada;100;--;0;--;0;--
2016;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Total;91.9;64.4;5.8;12.9;1.3;15.7
2016;Norte;RO;1100320;São Miguel do Guaporé;Rural;Total;91.2;--;5.6;--;1.8;--
2016;Norte;RO;1100338;Nova Mamoré;Total;Total;82.2;75;11.9;6.5;3.7;9.9
2016;Norte;RO;1100338;Nova Mamoré;Total;Pública;81.7;75;12.1;6.5;3.8;9.9
2016;Norte;RO;1100338;Nova Mamoré;Total;Privada;98.6;--;1.4;--;0;--
2016;Norte;RO;1100338;Nova Mamoré;Urbana;Total;83;72.5;11;9.5;2.2;7.9
2016;Norte;RO;1100338;Nova Mamoré;Rural;Total;81.6;77.9;12.4;3.2;4.6;12
2016;Norte;RO;1100346;Alvorada D'Oeste;Total;Total;91.3;75.3;5.8;8.7;2;10.4
2016;Norte;RO;1100346;Alvorada D'Oeste;Total;Pública;91.3;75.3;5.8;8.7;2;10.4
2016;Norte;RO;1100346;Alvorada D'Oeste;Urbana;Total;90.8;75.3;6.2;8.7;1.9;10.4
2016;Norte;RO;1100346;Alvorada D'Oeste;Rural;Total;93.8;--;3.7;--;2.3;--
2016;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Total;83.3;83;12.9;4.9;3.2;9.4
2016;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Pública;83.3;83;12.9;4.9;3.2;9.4
2016;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;Total;83.3;83;13;4.9;3.2;9.4
2016;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;Total;83.4;--;12.8;--;3.2;--
2016;Norte;RO;1100403;Alto Paraíso;Total;Total;86;65.5;9.7;13;3.2;15.2
2016;Norte;RO;1100403;Alto Paraíso;Total;Pública;86;65.5;9.7;13;3.2;15.2
2016;Norte;RO;1100403;Alto Paraíso;Urbana;Total;85.4;65.5;10.4;13;2.9;15.2
2016;Norte;RO;1100403;Alto Paraíso;Rural;Total;86.8;--;8.8;--;3.7;--
2016;Norte;RO;1100452;Buritis;Total;Total;87;73.6;8.7;8.4;3.5;12.1
2016;Norte;RO;1100452;Buritis;Total;Pública;86.8;73.6;8.8;8.4;3.6;12.1
2016;Norte;RO;1100452;Buritis;Total;Privada;99;--;1;--;0;--
2016;Norte;RO;1100452;Buritis;Urbana;Total;88;73.6;7.7;8.4;3.4;12.1
2016;Norte;RO;1100452;Buritis;Rural;Total;84.1;--;11.5;--;3.8;--
2016;Norte;RO;1100502;Novo Horizonte do Oeste;Total;Total;90.3;79.3;8.1;6.7;0.8;8.6
2016;Norte;RO;1100502;Novo Horizonte do Oeste;Total;Pública;90.3;74.9;8.1;8.1;0.8;10.3
2016;Norte;RO;1100502;Novo Horizonte do Oeste;Total;Privada;--;94.7;--;1.8;--;2.6
2016;Norte;RO;1100502;Novo Horizonte do Oeste;Urbana;Total;89.1;67.8;8.9;12;0.9;11.6
2016;Norte;RO;1100502;Novo Horizonte do Oeste;Rural;Total;92.9;88.5;6.1;2.4;0.5;6.3
2016;Norte;RO;1100601;Cacaulândia;Total;Total;86.5;61.9;10.8;26.6;2.2;7.3
2016;Norte;RO;1100601;Cacaulândia;Total;Pública;86.5;61.9;10.8;26.6;2.2;7.3
2016;Norte;RO;1100601;Cacaulândia;Urbana;Total;84.6;61.9;13;26.6;2;7.3
2016;Norte;RO;1100601;Cacaulândia;Rural;Total;91.8;--;4.5;--;2.9;--
2016;Norte;RO;1100700;Campo Novo de Rondônia;Total;Total;78.7;66.9;15.3;12.4;4.7;14.9
2016;Norte;RO;1100700;Campo Novo de Rondônia;Total;Pública;78.7;66.9;15.3;12.4;4.7;14.9
2016;Norte;RO;1100700;Campo Novo de Rondônia;Urbana;Total;74.6;71.4;19.7;8.1;2.8;13.5
2016;Norte;RO;1100700;Campo Novo de Rondônia;Rural;Total;80.9;58.7;12.9;20.3;5.7;17.5
2016;Norte;RO;1100809;Candeias do Jamari;Total;Total;75.5;61.9;17.2;14.3;4.2;11.9
2016;Norte;RO;1100809;Candeias do Jamari;Total;Pública;75.5;61.9;17.2;14.3;4.2;11.9
2016;Norte;RO;1100809;Candeias do Jamari;Urbana;Total;74.4;61.9;17.4;14.3;4.8;11.9
2016;Norte;RO;1100809;Candeias do Jamari;Rural;Total;78.5;--;16.6;--;2.8;--
2016;Norte;RO;1100908;Castanheiras;Total;Total;88.3;82.2;9.2;2;2.4;10.5
2016;Norte;RO;1100908;Castanheiras;Total;Pública;88.3;82.2;9.2;2;2.4;10.5
2016;Norte;RO;1100908;Castanheiras;Urbana;Total;89.2;82.2;6.8;2;4;10.5
2016;Norte;RO;1100908;Castanheiras;Rural;Total;87.9;--;10;--;1.9;--
2016;Norte;RO;1100924;Chupinguaia;Total;Total;89;72.8;7.4;11.3;3.2;15.3
2016;Norte;RO;1100924;Chupinguaia;Total;Pública;89;72.8;7.4;11.3;3.2;15.3
2016;Norte;RO;1100924;Chupinguaia;Urbana;Total;87.5;69.9;9.1;13.4;3;15.9
2016;Norte;RO;1100924;Chupinguaia;Rural;Total;91;86.3;5.3;1.3;3.5;12.4
2016;Norte;RO;1100940;Cujubim;Total;Total;78.6;56.5;14.5;11.5;4.4;21.7
2016;Norte;RO;1100940;Cujubim;Total;Pública;78;56.5;14.9;11.5;4.6;21.7
2016;Norte;RO;1100940;Cujubim;Total;Privada;95.8;--;3.4;--;0.8;--
2016;Norte;RO;1100940;Cujubim;Urbana;Total;76.2;56.5;16.7;11.5;4.2;21.7
2016;Norte;RO;1100940;Cujubim;Rural;Total;85.5;--;8.2;--;5.2;--
2016;Norte;RO;1101005;Governador Jorge Teixeira;Total;Total;83.5;73.8;11.2;6;4.7;14.9
2016;Norte;RO;1101005;Governador Jorge Teixeira;Total;Pública;83.5;73.8;11.2;6;4.7;14.9
2016;Norte;RO;1101005;Governador Jorge Teixeira;Urbana;Total;84.8;75.3;12.3;5.2;2.6;13.7
2016;Norte;RO;1101005;Governador Jorge Teixeira;Rural;Total;82.9;69.8;10.5;8.5;5.9;17.9
2016;Norte;RO;1101104;Itapuã do Oeste;Total;Total;81.4;54.2;11.7;20.3;3;13.1
2016;Norte;RO;1101104;Itapuã do Oeste;Total;Pública;81.4;54.2;11.7;20.3;3;13.1
2016;Norte;RO;1101104;Itapuã do Oeste;Urbana;Total;80.6;54.2;12.1;20.3;3.2;13.1
2016;Norte;RO;1101104;Itapuã do Oeste;Rural;Total;93;--;6.2;--;0;--
2016;Norte;RO;1101203;Ministro Andreazza;Total;Total;92.3;89;5.1;1.8;2.2;5.1
2016;Norte;RO;1101203;Ministro Andreazza;Total;Pública;92.3;89;5.1;1.8;2.2;5.1
2016;Norte;RO;1101203;Ministro Andreazza;Urbana;Total;91.2;89;6.1;1.8;2.2;5.1
2016;Norte;RO;1101203;Ministro Andreazza;Rural;Total;94.9;--;2.5;--;2.1;--
2016;Norte;RO;1101302;Mirante da Serra;Total;Total;85.1;79.4;12.1;8.9;1.8;8.8
2016;Norte;RO;1101302;Mirante da Serra;Total;Pública;85.3;76.3;11.9;10.3;1.7;10.3
2016;Norte;RO;1101302;Mirante da Serra;Total;Privada;81.9;95.4;14.5;1.8;2.9;0.9
2016;Norte;RO;1101302;Mirante da Serra;Urbana;Total;83.6;76.3;13.8;10.3;1.2;10.3
2016;Norte;RO;1101302;Mirante da Serra;Rural;Total;88.9;95.4;7.7;1.8;3.2;0.9
2016;Norte;RO;1101401;Monte Negro;Total;Total;83.5;81.1;11.6;8;3.3;7.1
2016;Norte;RO;1101401;Monte Negro;Total;Pública;83.3;81.1;11.7;8;3.3;7.1
2016;Norte;RO;1101401;Monte Negro;Total;Privada;94.8;--;5.2;--;0;--
2016;Norte;RO;1101401;Monte Negro;Urbana;Total;82;81.1;12.9;8;3;7.1
2016;Norte;RO;1101401;Monte Negro;Rural;Total;86.1;--;9.5;--;3.7;--
2016;Norte;RO;1101435;Nova União;Total;Total;84.9;72.4;12.4;10.7;2.3;9.7
2016;Norte;RO;1101435;Nova União;Total;Pública;84.9;72.4;12.4;10.7;2.3;9.7
2016;Norte;RO;1101435;Nova União;Urbana;Total;84.2;72.4;12.9;10.7;2.8;9.7
2016;Norte;RO;1101435;Nova União;Rural;Total;86.2;--;11.5;--;1.6;--
2016;Norte;RO;1101450;Parecis;Total;Total;87.2;82.4;9;7.7;3.8;9.9
2016;Norte;RO;1101450;Parecis;Total;Pública;87.2;82.4;9;7.7;3.8;9.9
2016;Norte;RO;1101450;Parecis;Urbana;Total;88.5;82.1;9.2;7.9;2.3;10
2016;Norte;RO;1101450;Parecis;Rural;Total;72.4;***;6.9;***;20.7;***
2016;Norte;RO;1101468;Pimenteiras do Oeste;Total;Total;92.2;84.7;5.2;11.8;2.6;2.4
2016;Norte;RO;1101468;Pimenteiras do Oeste;Total;Pública;92.2;84.7;5.2;11.8;2.6;2.4
2016;Norte;RO;1101468;Pimenteiras do Oeste;Urbana;Total;92.2;84.7;5.2;11.8;2.6;2.4
2016;Norte;RO;1101476;Primavera de Rondônia;Total;Total;93.2;83;4.9;10.5;1.8;5.2
2016;Norte;RO;1101476;Primavera de Rondônia;Total;Pública;93.2;83;4.9;10.5;1.8;5.2
2016;Norte;RO;1101476;Primavera de Rondônia;Urbana;Total;94.1;79;3.6;14.3;2;4.8
2016;Norte;RO;1101476;Primavera de Rondônia;Rural;Total;91.3;91.7;7.4;2.1;1.3;6.2
2016;Norte;RO;1101484;São Felipe D'Oeste;Total;Total;91.6;67.9;6.7;12.8;1.5;7.3
2016;Norte;RO;1101484;São Felipe D'Oeste;Total;Pública;91.6;67.9;6.7;12.8;1.5;7.3
2016;Norte;RO;1101484;São Felipe D'Oeste;Urbana;Total;91.6;67.9;6.7;12.8;1.5;7.3
2016;Norte;RO;1101492;São Francisco do Guaporé;Total;Total;86.1;84.4;10.3;4.3;2.2;6.2
2016;Norte;RO;1101492;São Francisco do Guaporé;Total;Pública;86.1;83.4;10.3;4.5;2.2;6.3
2016;Norte;RO;1101492;São Francisco do Guaporé;Total;Privada;--;93.8;--;1.6;--;4.6
2016;Norte;RO;1101492;São Francisco do Guaporé;Urbana;Total;85;83.4;11.1;4.5;2;6.3
2016;Norte;RO;1101492;São Francisco do Guaporé;Rural;Total;88;93.8;8.9;1.6;2.5;4.6
2016;Norte;RO;1101500;Seringueiras;Total;Total;87.2;77.6;9.4;4;2.6;11.9
2016;Norte;RO;1101500;Seringueiras;Total;Pública;87.2;77.6;9.4;4;2.6;11.9
2016;Norte;RO;1101500;Seringueiras;Urbana;Total;85.9;77.6;11.3;4;2.1;11.9
2016;Norte;RO;1101500;Seringueiras;Rural;Total;88.7;--;7.2;--;3.2;--
2016;Norte;RO;1101559;Teixeirópolis;Total;Total;83.5;72;10.5;12.7;4.7;9
2016;Norte;RO;1101559;Teixeirópolis;Total;Pública;83.5;72;10.5;12.7;4.7;9
2016;Norte;RO;1101559;Teixeirópolis;Urbana;Total;82.4;72;9.9;12.7;5.6;9
2016;Norte;RO;1101559;Teixeirópolis;Rural;Total;84.8;--;11.3;--;3.6;--
2016;Norte;RO;1101609;Theobroma;Total;Total;87.8;75.3;8.3;5.9;3.3;13.1
2016;Norte;RO;1101609;Theobroma;Total;Pública;87.8;75.3;8.3;5.9;3.3;13.1
2016;Norte;RO;1101609;Theobroma;Urbana;Total;85.3;75.3;12.2;5.9;2.5;13.1
2016;Norte;RO;1101609;Theobroma;Rural;Total;88.6;--;6.9;--;3.6;--
2016;Norte;RO;1101708;Urupá;Total;Total;87;75.8;9.5;6.9;2.4;11.4
2016;Norte;RO;1101708;Urupá;Total;Pública;87;75.8;9.5;6.9;2.4;11.4
2016;Norte;RO;1101708;Urupá;Urbana;Total;87.2;75.8;9.6;6.9;1.6;11.4
2016;Norte;RO;1101708;Urupá;Rural;Total;86.8;--;9.4;--;3.3;--
2016;Norte;RO;1101757;Vale do Anari;Total;Total;81.4;69.6;13.6;10.3;2.6;9.1
2016;Norte;RO;1101757;Vale do Anari;Total;Pública;81.4;69.6;13.6;10.3;2.6;9.1
2016;Norte;RO;1101757;Vale do Anari;Urbana;Total;82.8;69.6;12.9;10.3;1.9;9.1
2016;Norte;RO;1101757;Vale do Anari;Rural;Total;78.9;--;14.9;--;3.9;--
2016;Norte;RO;1101807;Vale do Paraíso;Total;Total;81.2;75.8;14.2;11;3;11
2016;Norte;RO;1101807;Vale do Paraíso;Total;Pública;80.6;75.8;14.4;11;3.2;11
2016;Norte;RO;1101807;Vale do Paraíso;Total;Privada;86.9;--;12.3;--;0.8;--
2016;Norte;RO;1101807;Vale do Paraíso;Urbana;Total;79.2;75.8;15.6;11;3.1;11
2016;Norte;RO;1101807;Vale do Paraíso;Rural;Total;86.1;--;10.8;--;2.6;--
2016;Norte;AC;1200013;Acrelândia;Total;Total;85.6;70.8;10.2;20.9;3.4;6.5
2016;Norte;AC;1200013;Acrelândia;Total;Pública;85.6;70.8;10.2;20.9;3.4;6.5
2016;Norte;AC;1200013;Acrelândia;Urbana;Total;86.1;67.3;10.6;24.1;2.5;6.7
2016;Norte;AC;1200013;Acrelândia;Rural;Total;84.7;90.4;9.6;3.2;4.6;5.3
2016;Norte;AC;1200054;Assis Brasil;Total;Total;69.6;63.8;21;9.4;8.4;19.2
2016;Norte;AC;1200054;Assis Brasil;Total;Pública;69.6;63.8;21;9.4;8.4;19.2
2016;Norte;AC;1200054;Assis Brasil;Urbana;Total;81.1;59.9;12.4;11.6;5;19
2016;Norte;AC;1200054;Assis Brasil;Rural;Total;58.7;80;29.1;0;11.6;20
2016;Norte;AC;1200104;Brasiléia;Total;Total;85.3;75.6;8.2;11.2;5.6;11.7
2016;Norte;AC;1200104;Brasiléia;Total;Pública;85.3;75.6;8.2;11.2;5.6;11.7
2016;Norte;AC;1200104;Brasiléia;Urbana;Total;88.1;73.6;7.3;12.5;3.8;12.5
2016;Norte;AC;1200104;Brasiléia;Rural;Total;79.4;86.5;10.1;4.3;9.6;7
2016;Norte;AC;1200138;Bujari;Total;Total;79.2;67.9;13.2;9.8;5.4;18
2016;Norte;AC;1200138;Bujari;Total;Pública;79.2;67.9;13.2;9.8;5.4;18
2016;Norte;AC;1200138;Bujari;Urbana;Total;85.6;66.8;9.6;10.1;2.7;18.1
2016;Norte;AC;1200138;Bujari;Rural;Total;72.6;70.2;17;9.2;8.3;17.7
2016;Norte;AC;1200179;Capixaba;Total;Total;82;73.7;12;12.7;4.4;9.3
2016;Norte;AC;1200179;Capixaba;Total;Pública;82;73.7;12;12.7;4.4;9.3
2016;Norte;AC;1200179;Capixaba;Urbana;Total;87.8;71.6;8.7;18.1;2.7;6.3
2016;Norte;AC;1200179;Capixaba;Rural;Total;75.7;77.3;15.5;4;6.4;14.1
2016;Norte;AC;1200203;Cruzeiro do Sul;Total;Total;88.1;79.8;7.3;8.8;3.8;9.5
2016;Norte;AC;1200203;Cruzeiro do Sul;Total;Pública;87.9;79.6;7.4;8.8;3.9;9.7
2016;Norte;AC;1200203;Cruzeiro do Sul;Total;Privada;98.4;91;1.4;8.1;0.2;0.9
2016;Norte;AC;1200203;Cruzeiro do Sul;Urbana;Total;90.9;79.9;5.7;9.6;2.5;8.7
2016;Norte;AC;1200203;Cruzeiro do Sul;Rural;Total;83.2;79.5;10.1;5.9;6.3;12.5
2016;Norte;AC;1200252;Epitaciolândia;Total;Total;86.6;78.6;7.8;6.8;4.4;12.1
2016;Norte;AC;1200252;Epitaciolândia;Total;Pública;86.6;78.6;7.8;6.8;4.4;12.1
2016;Norte;AC;1200252;Epitaciolândia;Urbana;Total;86.2;78.2;8.2;6.9;4.6;12.3
2016;Norte;AC;1200252;Epitaciolândia;Rural;Total;88.2;100;6.5;0;3.7;0
2016;Norte;AC;1200302;Feijó;Total;Total;80.2;70.8;12.5;18.7;6.5;10
2016;Norte;AC;1200302;Feijó;Total;Pública;80.2;70.8;12.5;18.7;6.5;10
2016;Norte;AC;1200302;Feijó;Urbana;Total;91.6;68;4.4;21.6;3.4;10
2016;Norte;AC;1200302;Feijó;Rural;Total;70.3;83.2;19.6;5.7;9.2;10.1
2016;Norte;AC;1200328;Jordão;Total;Total;81.1;82.6;10.1;6.2;8.2;8.9
