NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_LOCALIZACAO;NO_DEPENDENCIA;FUN_TX_PROMOCAO_TOTAL;MED_TX_PROMOCAO_TOTAL;FUN_TX_REPETENCIA_TOTAL;MED_TX_REPETENCIA_TOTAL;FUN_TX_EVASAO_TOTAL;MED_TX_EVASAO_TOTAL
2016;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Total;88.9;81.3;8.2;6.8;2;8.1
2016;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Pública;88.9;81.3;8.2;6.8;2;8.1
2016;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Total;88;81.3;9.2;6.8;1.7;8.1
2016;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Total;90.7;--;6.1;--;2.7;--
2016;Norte;RO;1100023;Ariquemes;Total;Total;85.9;69.5;10.3;13.1;2.1;10.9
2016;Norte;RO;1100023;Ariquemes;Total;Pública;84.6;68.5;11.2;13.5;2.3;11.2
2016;Norte;RO;1100023;Ariquemes;Total;Privada;97.7;92.1;1.6;5.1;0.6;2.3
2016;Norte;RO;1100023;Ariquemes;Urbana;Total;85.8;67.2;10.5;13.7;1.9;11.7
2016;Norte;RO;1100023;Ariquemes;Rural;Total;86.2;86.4;8.9;8.5;3.6;4.3
2016;Norte;RO;1100031;Cabixi;Total;Total;93;74.8;5.2;10.6;1.8;10.6
2016;Norte;RO;1100031;Cabixi;Total;Pública;93;74.8;5.2;10.6;1.8;10.6
2016;Norte;RO;1100031;Cabixi;Urbana;Total;92.8;75.8;5.7;11.6;1.4;8.1
2016;Norte;RO;1100031;Cabixi;Rural;Total;94.2;65;1;0;4.8;35
2016;Norte;RO;1100049;Cacoal;Total;Total;91.8;75.6;5.6;10.9;1.6;9.4
2016;Norte;RO;1100049;Cacoal;Total;Pública;90.7;72.2;6.4;11.9;1.9;11.2
2016;Norte;RO;1100049;Cacoal;Total;Privada;97.7;90.6;2;6.4;0.2;1.6
2016;Norte;RO;1100049;Cacoal;Urbana;Total;91.4;75.3;6.3;10.9;1.4;9.6
2016;Norte;RO;1100049;Cacoal;Rural;Total;94;82.9;2.7;11.4;3;5.7
2016;Norte;RO;1100056;Cerejeiras;Total;Total;87.9;71.2;9.5;11.4;1.5;9.9
2016;Norte;RO;1100056;Cerejeiras;Total;Pública;87.6;70.4;9.8;11.7;1.6;10.2
2016;Norte;RO;1100056;Cerejeiras;Total;Privada;97.6;100;1.2;0;0;0
2016;Norte;RO;1100056;Cerejeiras;Urbana;Total;88.8;71.2;8.7;11.4;1.4;9.9
2016;Norte;RO;1100056;Cerejeiras;Rural;Total;80.4;--;16.1;--;2.4;--
2016;Norte;RO;1100064;Colorado do Oeste;Total;Total;91.2;83.3;6.1;10.2;1.5;3.9
2016;Norte;RO;1100064;Colorado do Oeste;Total;Pública;91;83.3;6.2;10.2;1.5;3.9
2016;Norte;RO;1100064;Colorado do Oeste;Total;Privada;100;--;0;--;0;--
2016;Norte;RO;1100064;Colorado do Oeste;Urbana;Total;90.7;78.8;6.4;9.6;1.5;7.1
2016;Norte;RO;1100064;Colorado do Oeste;Rural;Total;92.7;88;5;10.9;1.6;0.4
2016;Norte;RO;1100072;Corumbiara;Total;Total;85.2;76;10.8;5.7;3.3;13.3
2016;Norte;RO;1100072;Corumbiara;Total;Pública;85.2;76;10.8;5.7;3.3;13.3
2016;Norte;RO;1100072;Corumbiara;Urbana;Total;93.1;73.8;5;6.7;1.4;12.8
2016;Norte;RO;1100072;Corumbiara;Rural;Total;79.9;80;14.6;3.8;4.6;14.3
2016;Norte;RO;1100080;Costa Marques;Total;Total;80.3;74.2;14.1;10.6;4.1;9.5
2016;Norte;RO;1100080;Costa Marques;Total;Pública;80.3;74.2;14.1;10.6;4.1;9.5
2016;Norte;RO;1100080;Costa Marques;Urbana;Total;81.4;72.9;14.1;11.9;3.1;9.1
2016;Norte;RO;1100080;Costa Marques;Rural;Total;78.7;76.8;14.1;7.9;5.7;10.2
2016;Norte;RO;1100098;Espigão D'Oeste;Total;Total;90.9;69.5;5.9;13.8;2.8;14
2016;Norte;RO;1100098;Espigão D'Oeste;Total;Pública;90.6;67.6;6.2;14.6;2.9;14.9
2016;Norte;RO;1100098;Espigão D'Oeste;Total;Privada;100;98.7;0;1.3;0;0
2016;Norte;RO;1100098;Espigão D'Oeste;Urbana;Total;91.7;69.9;6;13.6;2;13.8
2016;Norte;RO;1100098;Espigão D'Oeste;Rural;Total;89.3;51.9;5.9;22.2;4.7;22.2
2016;Norte;RO;1100106;Guajará-Mirim;Total;Total;83.2;73.4;12.2;9.3;3.2;7.9
2016;Norte;RO;1100106;Guajará-Mirim;Total;Pública;82.1;72.1;13.1;9.6;3.4;8.3
2016;Norte;RO;1100106;Guajará-Mirim;Total;Privada;97.7;91;1.7;4.5;0.6;2.7
2016;Norte;RO;1100106;Guajará-Mirim;Urbana;Total;84.3;73.4;11.6;9.3;2.4;7.9
2016;Norte;RO;1100106;Guajará-Mirim;Rural;Total;79.6;--;14.2;--;5.9;--
2016;Norte;RO;1100114;Jaru;Total;Total;87.6;74.5;9.3;12.4;2.3;8.1
2016;Norte;RO;1100114;Jaru;Total;Pública;87.2;73.1;9.6;13.2;2.3;8.5
2016;Norte;RO;1100114;Jaru;Total;Privada;96.8;93.8;1.6;1.9;1.6;2.5
2016;Norte;RO;1100114;Jaru;Urbana;Total;87.7;72.3;9.4;13.7;2;7.9
2016;Norte;RO;1100114;Jaru;Rural;Total;87.3;82.4;9;7.8;3.3;8.6
2016;Norte;RO;1100122;Ji-Paraná;Total;Total;87.7;75.2;8.3;11;2.6;7.8
2016;Norte;RO;1100122;Ji-Paraná;Total;Pública;87;73.8;8.7;11.5;2.8;8.2
2016;Norte;RO;1100122;Ji-Paraná;Total;Privada;95.1;94.9;4;3.3;0.6;1.5
2016;Norte;RO;1100122;Ji-Paraná;Urbana;Total;88;74.3;8.2;11.3;2.3;8
2016;Norte;RO;1100122;Ji-Paraná;Rural;Total;85.7;87.5;9.2;6.3;4.7;4.5
2016;Norte;RO;1100130;Machadinho D'Oeste;Total;Total;79.4;71.5;15.2;11.6;3.6;10.7
2016;Norte;RO;1100130;Machadinho D'Oeste;Total;Pública;78.9;70.5;15.5;12.1;3.7;11.1
2016;Norte;RO;1100130;Machadinho D'Oeste;Total;Privada;100;96.6;0;0;0;0
2016;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Total;79.4;68.5;15.3;13.3;3;11.5
2016;Norte;RO;1100130;Machadinho D'Oeste;Rural;Total;79.3;80.1;15;7;4.4;8.5
2016;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Total;93.4;59.9;3.5;18;2.2;17.7
2016;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Pública;93.4;59.9;3.5;18;2.2;17.7
2016;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Total;93.6;59.9;3.7;18;1.7;17.7
2016;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Total;93;--;3.1;--;3.6;--
2016;Norte;RO;1100155;Ouro Preto do Oeste;Total;Total;84.1;65.7;11.7;16.4;2.5;8
2016;Norte;RO;1100155;Ouro Preto do Oeste;Total;Pública;83.5;64.7;12.3;16.9;2.5;8.2
2016;Norte;RO;1100155;Ouro Preto do Oeste;Total;Privada;97.4;100;0.4;0;2.2;0
2016;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Total;84.2;65.7;11.6;16.4;2.5;8
2016;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Total;83.3;--;12.8;--;2.9;--
2016;Norte;RO;1100189;Pimenta Bueno;Total;Total;86.2;77.7;10.5;9.4;1.7;8
2016;Norte;RO;1100189;Pimenta Bueno;Total;Pública;85.7;76.6;10.9;9.9;1.8;8.4
