NU_ANO_CENSO;NO_REGIAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2015;Norte;11;RO;1100064;Colorado do Oeste;Urbana;Pública;14.7;20.9
2015;Norte;11;RO;1100064;Colorado do Oeste;Rural;Total;15.3;13.3
2015;Norte;11;RO;1100064;Colorado do Oeste;Rural;Federal;--;13.3
2015;Norte;11;RO;1100064;Colorado do Oeste;Rural;Municipal;15.3;--
2015;Norte;11;RO;1100064;Colorado do Oeste;Rural;Pública;15.3;13.3
2015;Norte;11;RO;1100072;Corumbiara;Total;Total;24.8;34.2
2015;Norte;11;RO;1100072;Corumbiara;Total;Estadual;20.8;34.2
2015;Norte;11;RO;1100072;Corumbiara;Total;Municipal;28.3;--
2015;Norte;11;RO;1100072;Corumbiara;Total;Pública;24.8;34.2
2015;Norte;11;RO;1100072;Corumbiara;Urbana;Total;14.1;33.9
2015;Norte;11;RO;1100072;Corumbiara;Urbana;Estadual;12.5;33.9
2015;Norte;11;RO;1100072;Corumbiara;Urbana;Municipal;15.3;--
2015;Norte;11;RO;1100072;Corumbiara;Urbana;Pública;14.1;33.9
2015;Norte;11;RO;1100072;Corumbiara;Rural;Total;31.7;34.9
2015;Norte;11;RO;1100072;Corumbiara;Rural;Estadual;25.8;34.9
2015;Norte;11;RO;1100072;Corumbiara;Rural;Municipal;37.2;--
2015;Norte;11;RO;1100072;Corumbiara;Rural;Pública;31.7;34.9
2015;Norte;11;RO;1100080;Costa Marques;Total;Total;26.3;42.1
2015;Norte;11;RO;1100080;Costa Marques;Total;Estadual;26.8;42.1
2015;Norte;11;RO;1100080;Costa Marques;Total;Municipal;25.9;--
2015;Norte;11;RO;1100080;Costa Marques;Total;Pública;26.3;42.1
2015;Norte;11;RO;1100080;Costa Marques;Urbana;Total;22.3;40.7
2015;Norte;11;RO;1100080;Costa Marques;Urbana;Estadual;25.7;40.7
2015;Norte;11;RO;1100080;Costa Marques;Urbana;Municipal;14.6;--
2015;Norte;11;RO;1100080;Costa Marques;Urbana;Pública;22.3;40.7
2015;Norte;11;RO;1100080;Costa Marques;Rural;Total;32.4;45
2015;Norte;11;RO;1100080;Costa Marques;Rural;Estadual;54.2;45
2015;Norte;11;RO;1100080;Costa Marques;Rural;Municipal;31.4;--
2015;Norte;11;RO;1100080;Costa Marques;Rural;Pública;32.4;45
2015;Norte;11;RO;1100098;Espigão D'Oeste;Total;Total;16.5;27.7
2015;Norte;11;RO;1100098;Espigão D'Oeste;Total;Estadual;18.4;29.4
2015;Norte;11;RO;1100098;Espigão D'Oeste;Total;Municipal;15.4;--
2015;Norte;11;RO;1100098;Espigão D'Oeste;Total;Privada;1.8;0
2015;Norte;11;RO;1100098;Espigão D'Oeste;Total;Pública;17;29.4
2015;Norte;11;RO;1100098;Espigão D'Oeste;Urbana;Total;13.8;27
2015;Norte;11;RO;1100098;Espigão D'Oeste;Urbana;Estadual;15.9;28.7
2015;Norte;11;RO;1100098;Espigão D'Oeste;Urbana;Municipal;11.6;--
2015;Norte;11;RO;1100098;Espigão D'Oeste;Urbana;Privada;1.8;0
2015;Norte;11;RO;1100098;Espigão D'Oeste;Urbana;Pública;14.4;28.7
2015;Norte;11;RO;1100098;Espigão D'Oeste;Rural;Total;22.6;61.5
2015;Norte;11;RO;1100098;Espigão D'Oeste;Rural;Estadual;30.3;61.5
2015;Norte;11;RO;1100098;Espigão D'Oeste;Rural;Municipal;19.6;--
2015;Norte;11;RO;1100098;Espigão D'Oeste;Rural;Pública;22.6;61.5
2015;Norte;11;RO;1100106;Guajará-Mirim;Total;Total;32.1;35.9
2015;Norte;11;RO;1100106;Guajará-Mirim;Total;Estadual;43.1;37.9
2015;Norte;11;RO;1100106;Guajará-Mirim;Total;Municipal;19.5;--
2015;Norte;11;RO;1100106;Guajará-Mirim;Total;Privada;2.7;8
2015;Norte;11;RO;1100106;Guajará-Mirim;Total;Pública;34.3;37.9
2015;Norte;11;RO;1100106;Guajará-Mirim;Urbana;Total;25.6;35.9
2015;Norte;11;RO;1100106;Guajará-Mirim;Urbana;Estadual;35.6;37.9
2015;Norte;11;RO;1100106;Guajará-Mirim;Urbana;Municipal;18.4;--
2015;Norte;11;RO;1100106;Guajará-Mirim;Urbana;Privada;2.7;8
2015;Norte;11;RO;1100106;Guajará-Mirim;Urbana;Pública;28;37.9
2015;Norte;11;RO;1100106;Guajará-Mirim;Rural;Total;53.3;--
2015;Norte;11;RO;1100106;Guajará-Mirim;Rural;Estadual;57.9;--
2015;Norte;11;RO;1100106;Guajará-Mirim;Rural;Municipal;29;--
2015;Norte;11;RO;1100106;Guajará-Mirim;Rural;Pública;53.3;--
2015;Norte;11;RO;1100114;Jaru;Total;Total;21.1;26.4
2015;Norte;11;RO;1100114;Jaru;Total;Estadual;23.1;27.1
2015;Norte;11;RO;1100114;Jaru;Total;Municipal;20.1;--
2015;Norte;11;RO;1100114;Jaru;Total;Privada;2.2;18.8
2015;Norte;11;RO;1100114;Jaru;Total;Pública;21.9;27.1
2015;Norte;11;RO;1100114;Jaru;Urbana;Total;19.3;25.5
2015;Norte;11;RO;1100114;Jaru;Urbana;Estadual;22.5;26
2015;Norte;11;RO;1100114;Jaru;Urbana;Municipal;15.4;--
2015;Norte;11;RO;1100114;Jaru;Urbana;Privada;2.2;2.6
2015;Norte;11;RO;1100114;Jaru;Urbana;Pública;20.2;26
2015;Norte;11;RO;1100114;Jaru;Rural;Total;26.9;29.5
2015;Norte;11;RO;1100114;Jaru;Rural;Estadual;26.7;32
2015;Norte;11;RO;1100114;Jaru;Rural;Municipal;27;--
2015;Norte;11;RO;1100114;Jaru;Rural;Privada;--;23.1
2015;Norte;11;RO;1100114;Jaru;Rural;Pública;26.9;32
2015;Norte;11;RO;1100122;Ji-Paraná;Total;Total;19.5;25.6
2015;Norte;11;RO;1100122;Ji-Paraná;Total;Federal;--;9.3
2015;Norte;11;RO;1100122;Ji-Paraná;Total;Estadual;24.4;30.2
2015;Norte;11;RO;1100122;Ji-Paraná;Total;Municipal;9.5;--
2015;Norte;11;RO;1100122;Ji-Paraná;Total;Privada;4.5;6.6
2015;Norte;11;RO;1100122;Ji-Paraná;Total;Pública;20.9;27
2015;Norte;11;RO;1100122;Ji-Paraná;Urbana;Total;18.2;25.8
2015;Norte;11;RO;1100122;Ji-Paraná;Urbana;Federal;--;9.3
2015;Norte;11;RO;1100122;Ji-Paraná;Urbana;Estadual;22.9;30.1
2015;Norte;11;RO;1100122;Ji-Paraná;Urbana;Municipal;4.6;--
2015;Norte;11;RO;1100122;Ji-Paraná;Urbana;Privada;4.5;2
2015;Norte;11;RO;1100122;Ji-Paraná;Urbana;Pública;19.7;26.9
2015;Norte;11;RO;1100122;Ji-Paraná;Rural;Total;28.4;22.2
2015;Norte;11;RO;1100122;Ji-Paraná;Rural;Estadual;43.6;31.4
2015;Norte;11;RO;1100122;Ji-Paraná;Rural;Municipal;18.1;--
2015;Norte;11;RO;1100122;Ji-Paraná;Rural;Privada;--;11.9
2015;Norte;11;RO;1100122;Ji-Paraná;Rural;Pública;28.4;31.4
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Total;Total;30.1;30.9
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Total;Estadual;33;31.9
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Total;Municipal;29.7;--
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Total;Privada;4.2;6.7
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Total;Pública;30.7;31.9
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Urbana;Total;26.3;28.9
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Urbana;Estadual;33;30.1
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Urbana;Municipal;20.3;--
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Urbana;Privada;4.2;6.7
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Urbana;Pública;27.3;30.1
