UF_CODE;CO_MUNICIPIO;TXT_FUN_TX_PROMOCAO_TOTAL;TXT_FUN_TX_REPETENCIA_TOTAL;TXT_FUN_TX_EVASAO_TOTAL;TDI_FUN_TX_DIST_IDADE_SERIE_TOTAL;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO1;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO2;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO3;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO4;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO5;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_ALTA;DSU_FUN_PERC_DOC_SUPERIOR_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_FUN_TX_APROVACAO_TOTAL;TXR_FUN_TX_REPROVACAO_TOTAL;TXR_FUN_TX_ABANDONO_TOTAL;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2017;PERCENTUAL_FAMILIAS_PBF_2017
26;2607901;88.0;6.5;3.8;20.3;43.7;1.2;13.7;3.1;38.3;8.5;13.2;68.1;9.4;37.3;22.5;9.7;15.1;6.0;95.0;4.4;0.6;20.2;13.8;26.1;28.3;6.7;4.9;2017;0;13540091;0.0893
26;2607950;77.0;18.7;1.9;32.7;43.1;0.0;30.5;1.0;25.4;27.3;0.0;76.2;45.5;9.1;36.4;9.0;0.0;0.0;81.9;11.9;6.2;41.1;11.8;16.7;27.5;2.9;0.0;2017;0;101857;0.17552
26;2608008;74.3;18.1;4.2;31.5;33.9;0.6;43.4;0.8;21.3;5.4;21.7;77.8;48.6;16.2;10.8;10.8;10.8;2.8;79.3;14.2;6.5;36.1;19.4;23.6;16.7;2.1;2.1;2017;0;119044;0.24827
26;2608057;86.1;9.8;2.1;21.8;34.5;0.0;20.8;0.5;44.2;8.3;20.9;54.0;26.9;23.1;15.4;3.8;23.1;7.7;89.7;9.3;1.0;37.2;17.8;18.9;21.3;3.6;1.2;2017;0;122689;0.15004
26;2608107;86.7;9.1;2.8;22.2;30.9;1.1;24.3;0.7;43.0;10.0;0.0;58.9;22.6;29.0;35.5;6.5;6.4;0.0;89.7;9.9;0.4;36.3;27.1;17.1;17.1;1.6;0.8;2017;0;272380;0.14075
26;2608206;78.2;14.9;2.8;27.9;22.0;0.1;23.3;0.8;53.8;16.7;0.0;47.9;52.6;21.1;5.3;10.5;10.5;0.0;84.9;11.6;3.5;51.7;6.9;12.9;20.7;5.2;2.6;2017;0;125465;0.16999
26;2608255;87.0;8.4;2.9;22.9;62.0;0.0;20.3;0.0;17.7;12.5;37.4;86.0;70.6;11.8;5.9;5.9;0.0;5.8;88.4;9.7;1.9;31.0;24.0;20.0;20.0;2.0;3.0;2017;0;103835;0.16481
26;2608305;83.7;12.3;2.8;22.5;40.6;0.0;22.7;0.0;36.7;20.0;13.3;61.7;47.1;29.4;5.9;5.9;5.9;5.8;91.9;6.2;1.9;22.3;27.3;14.9;32.2;3.3;0.0;2017;0;153355;0.16748
26;2608404;81.0;10.2;2.8;21.0;41.4;0.0;11.9;0.0;46.7;31.8;9.1;54.2;52.2;34.8;0.0;4.3;8.7;0.0;87.2;11.8;1.0;51.9;11.0;8.7;24.4;1.6;2.4;2017;0;118749;0.19386
26;2608453;87.5;9.9;2.1;19.5;23.1;0.4;22.2;0.9;53.4;22.2;5.5;53.8;44.4;33.3;11.1;5.6;5.6;0.0;88.7;9.6;1.7;34.3;20.0;14.3;25.7;3.8;1.9;2017;0;228047;0.15863
26;2608503;86.2;8.8;3.9;22.5;31.9;0.0;18.4;1.7;48.0;20.0;0.0;53.3;34.6;42.3;11.5;3.8;7.8;0.0;89.4;6.6;4.0;40.4;16.9;18.5;19.1;4.5;0.6;2017;0;309511;0.12607
26;2608602;71.3;20.7;5.5;37.0;34.3;0.0;28.0;10.2;27.5;16.7;23.3;65.9;53.1;21.9;6.3;15.6;0.0;3.1;76.0;19.0;5.0;19.3;41.9;20.2;12.4;5.4;0.8;2017;0;112483;0.17847
26;2608701;81.4;11.5;3.1;24.3;28.8;0.0;7.0;2.9;61.3;24.1;3.5;44.4;46.7;3.3;6.7;16.7;23.3;3.3;87.9;9.9;2.2;36.2;29.3;10.3;16.4;5.2;2.6;2017;0;128980;0.19577
26;2608750;82.3;12.3;2.7;21.1;43.7;1.2;18.1;3.1;33.9;18.5;0.0;66.8;36.4;27.3;18.2;6.1;9.1;2.9;88.3;11.0;0.7;27.4;14.2;21.3;26.2;8.7;2.2;2017;0;327416;0.14857
26;2608800;82.7;11.1;3.9;21.8;42.8;0.3;20.8;1.2;34.9;37.8;0.0;67.4;32.6;19.6;10.9;4.3;15.2;17.4;87.5;8.2;4.3;36.4;18.3;12.3;23.2;6.0;3.8;2017;0;451077;0.16817
26;2608909;88.2;8.3;1.7;17.9;44.3;0.3;21.6;1.9;31.9;5.9;1.9;70.4;21.6;35.3;13.7;13.7;7.8;7.9;93.1;6.6;0.3;21.5;16.9;19.5;31.4;5.7;5.0;2017;0;743385;0.15292
26;2609006;86.0;9.9;3.1;21.3;26.7;0.1;35.9;5.4;31.9;20.0;4.0;70.9;28.6;32.1;14.3;10.7;3.6;10.7;90.8;8.9;0.3;22.8;23.3;16.7;30.0;4.4;2.8;2017;0;242580;0.12521
26;2609105;83.8;12.5;2.6;23.4;13.1;0.0;20.1;9.0;57.8;35.7;0.0;47.0;7.1;57.1;21.4;7.1;7.3;0.0;86.5;11.4;2.1;33.7;23.4;24.7;14.3;2.6;1.3;2017;0;200850;0.13439
26;2609154;79.8;14.5;4.0;29.0;27.4;0.6;19.6;0.3;52.1;2.7;32.4;49.2;42.1;34.2;2.6;2.6;13.2;5.3;85.5;12.2;2.3;47.1;21.4;17.6;12.3;1.1;0.5;2017;0;118784;0.17998
26;2609204;72.4;18.9;4.5;35.0;33.9;0.0;26.2;0.0;39.9;21.4;0.0;58.4;50.0;21.4;0.0;7.1;7.1;14.4;82.0;12.0;6.0;36.6;17.8;12.2;18.9;7.8;6.7;2017;0;85685;0.20764
26;2609303;81.2;13.0;3.3;22.8;24.7;0.0;28.7;2.3;44.3;28.6;11.4;57.9;57.9;28.9;2.6;7.9;2.7;0.0;86.4;12.1;1.5;42.6;16.5;15.7;19.7;4.7;0.8;2017;0;155980;0.16359
26;2609402;82.3;13.3;2.4;25.3;42.9;0.7;18.9;1.9;35.6;11.4;6.8;72.3;22.4;34.7;16.3;6.1;16.3;4.2;85.7;11.8;2.5;21.4;13.2;24.0;25.2;8.7;7.5;2017;0;682721;0.15361
26;2609501;88.4;8.5;2.3;18.6;40.9;0.6;23.9;0.9;33.7;3.7;3.8;72.7;29.6;14.8;22.2;11.1;18.5;3.8;92.3;7.0;0.7;23.4;20.1;24.3;22.6;5.4;4.2;2017;0;520236;0.09287
26;2609600;85.2;10.0;3.1;23.6;43.2;1.2;17.0;2.4;36.2;7.6;17.0;72.3;8.9;40.2;20.7;13.8;10.2;6.2;92.0;6.5;1.5;17.7;13.1;26.8;31.3;6.9;4.2;2017;0;5437636;0.07908
26;2609709;90.8;6.1;2.6;16.5;33.9;0.1;33.0;3.6;29.4;2.8;5.5;65.6;33.3;22.2;8.3;30.6;5.6;0.0;95.3;3.5;1.2;42.3;18.5;19.0;15.9;3.4;0.9;2017;0;333792;0.14684
26;2609808;86.7;9.4;3.2;16.7;30.2;2.0;22.1;2.7;43.0;29.0;9.7;59.4;40.5;35.1;16.2;2.7;5.5;0.0;88.8;8.4;2.8;44.6;9.5;17.3;20.2;6.0;2.4;2017;0;151483;0.22273
26;2609907;80.8;13.8;3.5;30.0;23.3;0.3;21.9;4.1;50.4;35.9;12.8;51.9;34.1;32.9;7.3;8.5;7.3;9.9;86.0;9.7;4.3;29.0;28.1;18.5;19.2;4.3;0.9;2017;0;612240;0.1734
26;2610004;85.3;10.9;2.6;24.2;26.0;0.5;24.9;2.9;45.7;16.7;15.4;61.5;24.4;43.9;13.4;11.0;6.1;1.2;90.6;7.5;1.9;20.0;18.4;26.1;24.8;6.5;4.2;2017;0;833618;0.13998
26;2610103;68.3;24.9;4.4;33.8;35.4;0.0;24.1;0.0;40.5;41.2;11.7;60.6;58.8;23.5;0.0;11.8;5.9;0.0;83.4;13.4;3.2;32.7;25.0;17.2;18.8;4.7;1.6;2017;0;72513;0.24572
26;2610202;86.0;7.2;3.6;16.1;41.0;0.0;24.3;1.4;33.3;31.5;0.0;67.3;22.0;12.0;2.0;38.0;20.0;6.0;94.9;4.9;0.2;51.2;19.1;12.6;13.6;3.5;0.0;2017;0;175759;0.15513
26;2610301;85.0;8.7;3.4;21.9;20.3;0.0;7.1;0.0;72.6;3.1;28.1;31.4;34.4;53.1;3.1;3.1;6.3;0.0;94.3;3.8;1.9;42.4;17.8;13.6;17.8;5.9;2.5;2017;0;242841;0.22998
26;2610400;91.0;6.1;2.4;12.3;18.4;0.0;38.6;2.8;40.2;13.3;13.3;60.8;60.0;22.9;5.7;8.6;0.0;2.8;96.2;3.0;0.8;35.1;21.4;20.0;21.4;1.4;0.7;2017;0;163905;0.14666
26;2610509;88.7;6.5;3.4;16.2;51.1;0.0;20.3;2.0;26.6;3.2;22.6;72.6;29.0;41.9;16.1;9.7;3.3;0.0;95.3;3.6;1.1;35.9;19.7;24.7;17.2;2.5;0.0;2017;0;219998;0.17283
