CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021
2306108;124748;142973;148674;160347;168328;166022;188519;192415;220294
2306207;43681;50873;57522;57201;69654;65923;69563;75891;82855
2306256;352105;435972;575677;570233;663650;700656;722999;911357;1258826
2306306;450431;521958;497620;526509;550017;562380;640044;567838;594581
2306405;1002563;1197646;1191433;1329820;1560337;1649739;1678108;1644837;1784007
2306504;90332;104732;112505;123077;135105;134424;145819;163790;170314
2306553;353145;379133;396508;433558;770373;745519;615078;694591;766786
2306603;92720;107405;114214;112348;130468;125100;136853;154347;174029
2306702;107965;129820;136631;141990;149931;156217;170403;205399;226644
2306801;121204;140557;140831;123111;130346;133295;126446;140727;154002
2306900;347615;419278;485151;451543;511615;590674;510275;555424;561175
2307007;292202;354774;396821;364368;404008;404200;477737;481688;566961
2307106;146767;178308;174486;177567;194304;210872;230862;260704;294154
2307205;41041;66419;75985;79408;90501;94140;112635;119490;129729
2307254;138753;185465;216640;268007;310187;383001;493501;379029;551638
2307304;3232446;3819082;3921616;4183987;4428414;4815935;4868984;4827915;5114793
2307403;140205;176396;172725;176488;187388;225459;244408;275713;319373
2307502;157668;190143;232094;219964;249151;260743;272567;285660;343304
2307601;782694;809847;817926;924249;916986;949609;1046182;1226770;1423366
2307635;90255;113448;126213;127340;139510;131492;141443;161611;174831
2307650;6291122;7029386;7896114;8100726;8540212;10330813;9746884;10031432;12337017
2307700;944514;1059587;1140316;1259097;1368102;1495052;1534351;1504587;1649528
2307809;207680;248602;261287;272481;312089;321070;333499;346445;390969
2307908;49960;56520;62843;70372;77394;77764;80276;89836;96327
2308005;165867;196023;207039;227628;255896;278607;295095;320552;378718
2308104;251363;316347;316619;336676;371102;411896;420912;474650;517496
2308203;66688;72441;79926;88144;96490;102225;110791;122359;129293
2308302;160552;196253;192052;199219;222861;231515;240821;276828;287223
2308351;75322;90979;90187;111637;126516;131295;140528;168456;195290
2308377;58155;67366;73043;77371;86790;86346;91734;100754;112599
2308401;204972;297139;502539;330808;616402;490944;471495;458148;515937
2308500;205153;243906;258940;306144;318434;332608;342724;413851;446847
2308609;83661;100418;106164;121232;126566;130693;141197;149162;160699
2308708;629723;639399;692613;753413;842433;962455;1009530;1167792;1276864
2308807;40079;67799;73751;60819;62690;63118;68677;72451;75575
2308906;93610;113073;125801;134692;147899;140940;162042;174138;193204
2309003;68813;77239;83003;93881;96768;101369;107417;117329;131292
2309102;70613;77877;87881;84996;125254;118694;106654;125686;123801
