CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2013;PERCENTUAL_FAMILIAS_PBF_2014;PERCENTUAL_FAMILIAS_PBF_2015;PERCENTUAL_FAMILIAS_PBF_2016;PERCENTUAL_FAMILIAS_PBF_2017;PERCENTUAL_FAMILIAS_PBF_2018;PERCENTUAL_FAMILIAS_PBF_2019;PERCENTUAL_FAMILIAS_PBF_2020;PERCENTUAL_FAMILIAS_PBF_2021
3133758;613235;613956;510475;486722;509321;455540;507768;632311;724266;0.03696;0.03741;0.03831;0.03802;0.03339;0.02354;0.01862;0.02241;0.0264
3133808;2408444;2499009;2466328;2620157;3029964;3104946;3476221;3706566;5084952;0.02027;0.01967;0.0213;0.02198;0.0222;0.02256;0.02038;0.02461;0.02647
3133907;42324;42998;50345;54499;48336;49917;57871;61267;71363;0.10115;0.1006;0.10021;0.10047;0.09824;0.09287;0.08562;0.08996;0.09509
3134004;93631;114446;117650;122364;122229;122952;127388;126086;148258;0.14964;0.16107;0.14742;0.14837;0.15402;0.14228;0.14009;0.14672;0.14163
3134103;56196;64511;75674;77328;81333;71029;76032;89286;122207;0.11651;0.11452;0.10892;0.10223;0.11748;0.11575;0.11073;0.11463;0.11162
3134202;2548879;2666713;2744948;2868378;2895871;2777541;3367591;3585918;3797932;0.03646;0.03582;0.03055;0.0263;0.02375;0.02044;0.01675;0.02108;0.02406
3134301;44705;48004;53168;61036;61545;59658;64844;79033;91622;0.06993;0.06448;0.06494;0.05574;0.05376;0.05556;0.04948;0.0605;0.06925
3134400;1774187;1533344;1825273;1986558;1725983;2155469;2043146;2298330;2017455;0.04354;0.03718;0.03812;0.0389;0.06335;0.06118;0.05504;0.0518;0.04995
3134509;73630;57179;81339;100008;83550;116108;130946;145975;172515;0.06464;0.05627;0.05747;0.04952;0.04916;0.05303;0.04356;0.05653;0.06322
3134608;150578;171103;185427;199424;205297;220159;249979;264422;297901;0.06711;0.05978;0.05737;0.05185;0.05142;0.05106;0.04185;0.0477;0.05086
3134707;77968;83152;94404;100544;101966;103674;110298;125531;131584;0.15091;0.16241;0.14844;0.13993;0.14418;0.13886;0.11269;0.12002;0.12914
3134806;81365;93347;95008;113420;109689;114840;104853;131774;150968;0.05261;0.04414;0.04574;0.03245;0.02574;0.02422;0.0216;0.02717;0.03015
3134905;412148;445457;502494;500152;633788;694441;811531;1031916;1143965;0.01798;0.01574;0.00987;0.00762;0.00864;0.00946;0.01047;0.01698;0.02287
3135001;52500;59757;62331;61886;64958;71499;88042;108104;109845;0.06202;0.0621;0.05421;0.04671;0.04813;0.04033;0.03703;0.04392;0.05554
3135050;402994;431770;470533;522283;555254;532969;604969;634980;849210;0.12472;0.12781;0.12959;0.13517;0.16619;0.16546;0.15323;0.14652;0.14311
3135076;42540;45642;46843;51706;54502;54594;58185;66488;82540;0.12446;0.13763;0.1261;0.12655;0.157;0.17758;0.15933;0.14957;0.14799
3135100;725688;846812;967457;1025152;1096826;1126292;1294141;1174157;1603651;0.11496;0.11816;0.11194;0.10062;0.08558;0.08053;0.07115;0.07543;0.08127
3135209;509465;556625;594901;636624;676308;688869;708176;808381;824599;0.12463;0.12739;0.1262;0.1145;0.11167;0.11606;0.11132;0.12119;0.11957
3135308;49416;54176;59195;58922;68416;72169;74318;81795;101337;0.03839;0.04161;0.03891;0.03789;0.04294;0.04404;0.03816;0.03946;0.03803
3135357;51584;52051;53919;57291;57654;59913;67806;70908;77423;0.16339;0.17467;0.16672;0.1714;0.17494;0.16702;0.16301;0.16625;0.16256
3135407;580182;722109;614210;593465;770515;1016472;1225207;1243843;1953259;0.08335;0.07416;0.07102;0.06076;0.05874;0.05932;0.05375;0.06719;0.07383
3135456;36441;41788;45584;46282;69760;70955;73344;76846;79480;0.11419;0.1134;0.09683;0.09152;0.08681;0.08398;0.07748;0.07689;0.07852
3135506;104484;134642;134956;152825;145473;139268;151911;181523;193981;0.09102;0.08397;0.07987;0.07627;0.07396;0.07632;0.07137;0.07706;0.08084
3135605;70579;69387;70546;74788;78647;78315;98255;119144;130474;0.14079;0.15771;0.14947;0.14939;0.18466;0.20021;0.19214;0.1864;0.18618
3135704;83422;86073;89473;104134;89202;90260;94152;111186;126191;0.08461;0.08267;0.08677;0.08559;0.07896;0.08169;0.07484;0.07932;0.08553
3135803;157848;188598;208737;238419;225098;228391;250848;254494;274832;0.13093;0.13994;0.1245;0.10976;0.10387;0.10077;0.09527;0.1034;0.11896
3135902;44338;50247;51506;66442;64401;61349;64362;81476;104204;0.0992;0.09206;0.08961;0.08185;0.0835;0.08989;0.08899;0.09686;0.09468
3136009;91713;103459;113743;124722;131819;134733;144292;160110;162644;0.15042;0.15532;0.15641;0.15578;0.1553;0.16035;0.15675;0.16823;0.16658
3136108;49108;48747;82221;88152;77144;80565;72798;106645;110227;0.09915;0.09364;0.09819;0.10262;0.11649;0.11232;0.09928;0.11863;0.1351
3136207;2186452;2374713;2339499;2318455;2590756;2925696;3114082;3334497;4851241;0.0326;0.02695;0.02946;0.02925;0.03167;0.03183;0.02748;0.03188;0.03479
3136306;957820;1077534;1177576;1333217;1462034;1468485;1520004;1847326;2156171;0.06236;0.06369;0.06438;0.06876;0.06675;0.06907;0.06567;0.07501;0.07279
3136405;46210;43708;44425;43382;40378;44067;51309;66736;72335;0.08704;0.06845;0.06468;0.0582;0.07004;0.07186;0.06177;0.0715;0.0885
3136504;64179;70658;75729;82825;82015;90770;93263;95050;107172;0.13198;0.12655;0.11371;0.10732;0.09907;0.0897;0.08389;0.08633;0.0872
3136520;29146;33431;34335;35080;44991;44770;46222;47695;51745;0.10223;0.10989;0.10683;0.10718;0.10926;0.10363;0.09553;0.10007;0.09969
3136553;42235;42519;40798;50758;54606;51562;59947;70226;72338;0.11216;0.10848;0.1087;0.10402;0.1132;0.13426;0.12653;0.1299;0.12324
3136579;33629;27811;39315;38226;36223;37131;51326;49442;58028;0.15655;0.16507;0.15673;0.15451;0.15604;0.14244;0.13499;0.13725;0.1346
3136603;50461;62233;62660;67869;82164;85846;95730;92510;107518;0.08501;0.07978;0.07545;0.07269;0.07547;0.07485;0.07249;0.08112;0.09113
3136652;902246;1018529;1130250;1087403;1202317;1205234;1351105;1323792;1437155;0.06873;0.06338;0.07;0.07336;0.08306;0.08084;0.075;0.07075;0.07009
3136702;13196898;13955698;14436472;14524863;15990009;16956903;18703878;16873180;20297559;0.03051;0.0273;0.02833;0.02577;0.02373;0.02341;0.02118;0.02632;0.03022
3136801;69459;34481;39611;39458;36755;38635;41362;45775;51609;0.1264;0.12723;0.12416;0.12575;0.12942;0.12929;0.11937;0.13049;0.12732
3136900;113809;148073;154156;177371;164669;153488;171679;197062;274109;0.0351;0.03147;0.03022;0.03087;0.03094;0.02931;0.02263;0.02481;0.02483
