NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_MEDIA_TOTAL_ALUNOS_SALA;FUN_MEDIA_TOTAL_ALUNOS_SALA;MED_MEDIA_TOTAL_ALUNOS_SALA
2018;Norte;RO;1100064;Colorado do Oeste;Urbana;Total;4.3;4.1;4.5
2018;Norte;RO;1100064;Colorado do Oeste;Rural;Total;4.4;4.4;9.8
2018;Norte;RO;1100064;Colorado do Oeste;Total;Federal;;;9.8
2018;Norte;RO;1100064;Colorado do Oeste;Rural;Federal;;;9.8
2018;Norte;RO;1100064;Colorado do Oeste;Total;Estadual;;4.1;4.5
2018;Norte;RO;1100064;Colorado do Oeste;Urbana;Estadual;;4.1;4.5
2018;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;4.3;4.1;
2018;Norte;RO;1100064;Colorado do Oeste;Urbana;Municipal;4.3;4;
2018;Norte;RO;1100064;Colorado do Oeste;Rural;Municipal;4.4;4.4;
2018;Norte;RO;1100064;Colorado do Oeste;Total;Privada;4.3;4.3;
2018;Norte;RO;1100064;Colorado do Oeste;Urbana;Privada;4.3;4.3;
2018;Norte;RO;1100064;Colorado do Oeste;Total;Pública;4.3;4.1;7.4
2018;Norte;RO;1100064;Colorado do Oeste;Urbana;Pública;4.3;4.1;4.5
2018;Norte;RO;1100064;Colorado do Oeste;Rural;Pública;4.4;4.4;9.8
2018;Norte;RO;1100072;Corumbiara;Total;Total;4;4;4
2018;Norte;RO;1100072;Corumbiara;Urbana;Total;4;4;4
2018;Norte;RO;1100072;Corumbiara;Rural;Total;4.1;4.1;4
2018;Norte;RO;1100072;Corumbiara;Total;Estadual;;4;4
2018;Norte;RO;1100072;Corumbiara;Urbana;Estadual;;4;4
2018;Norte;RO;1100072;Corumbiara;Rural;Estadual;;4;4
2018;Norte;RO;1100072;Corumbiara;Total;Municipal;4;4.1;
2018;Norte;RO;1100072;Corumbiara;Urbana;Municipal;4;4;
2018;Norte;RO;1100072;Corumbiara;Rural;Municipal;4.1;4.2;
2018;Norte;RO;1100072;Corumbiara;Total;Pública;4;4;4
2018;Norte;RO;1100072;Corumbiara;Urbana;Pública;4;4;4
2018;Norte;RO;1100072;Corumbiara;Rural;Pública;4.1;4.1;4
2018;Norte;RO;1100080;Costa Marques;Total;Total;4.1;4.2;4
2018;Norte;RO;1100080;Costa Marques;Urbana;Total;4.1;4.3;4
2018;Norte;RO;1100080;Costa Marques;Rural;Total;4.2;4.1;4
2018;Norte;RO;1100080;Costa Marques;Total;Estadual;;4.3;4
2018;Norte;RO;1100080;Costa Marques;Urbana;Estadual;;4.3;4
2018;Norte;RO;1100080;Costa Marques;Rural;Estadual;;4.3;4
2018;Norte;RO;1100080;Costa Marques;Total;Municipal;4.1;4.2;
2018;Norte;RO;1100080;Costa Marques;Urbana;Municipal;4.1;4.3;
2018;Norte;RO;1100080;Costa Marques;Rural;Municipal;4.2;4.1;
2018;Norte;RO;1100080;Costa Marques;Total;Pública;4.1;4.2;4
2018;Norte;RO;1100080;Costa Marques;Urbana;Pública;4.1;4.3;4
2018;Norte;RO;1100080;Costa Marques;Rural;Pública;4.2;4.1;4
2018;Norte;RO;1100098;Espigão D'Oeste;Total;Total;4.7;4.2;5.7
2018;Norte;RO;1100098;Espigão D'Oeste;Urbana;Total;4.8;4.1;5.8
2018;Norte;RO;1100098;Espigão D'Oeste;Rural;Total;4.3;4.2;4
2018;Norte;RO;1100098;Espigão D'Oeste;Total;Estadual;;4;5.7
2018;Norte;RO;1100098;Espigão D'Oeste;Urbana;Estadual;;4;5.8
2018;Norte;RO;1100098;Espigão D'Oeste;Rural;Estadual;;4;4
2018;Norte;RO;1100098;Espigão D'Oeste;Total;Municipal;4.8;4.2;
2018;Norte;RO;1100098;Espigão D'Oeste;Urbana;Municipal;4.9;4.2;
2018;Norte;RO;1100098;Espigão D'Oeste;Rural;Municipal;4.3;4.3;
2018;Norte;RO;1100098;Espigão D'Oeste;Total;Privada;4.3;4.5;5.1
2018;Norte;RO;1100098;Espigão D'Oeste;Urbana;Privada;4.3;4.5;5.1
2018;Norte;RO;1100098;Espigão D'Oeste;Total;Pública;4.8;4.1;5.7
2018;Norte;RO;1100098;Espigão D'Oeste;Urbana;Pública;4.9;4.1;5.8
2018;Norte;RO;1100098;Espigão D'Oeste;Rural;Pública;4.3;4.2;4
2018;Norte;RO;1100106;Guajará-Mirim;Total;Total;4.2;4.1;6.4
2018;Norte;RO;1100106;Guajará-Mirim;Urbana;Total;4.2;4.1;6.5
