NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT_FUN;1_CAT_MED;2_CAT_FUN;2_CAT_MED;3_CAT_FUN;3_CAT_MED
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;99,6;95,8;0,2;0,0;0,2;4,2
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;99,7;95,8;0,0;0,0;0,3;4,2
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;99,7;95,8;0,0;0,0;0,3;4,2
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;99,6;--;0,4;--;0,0;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;99,6;--;0,4;--;0,0;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;99,6;95,8;0,2;0,0;0,2;4,2
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;99,6;95,8;0,2;0,0;0,2;4,2
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;97,9;100,0;2,1;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;97,9;100,0;2,1;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;--;100,0;--;0,0;--;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;--;100,0;--;0,0;--;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;97,9;--;2,1;--;0,0;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;97,9;--;2,1;--;0,0;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;97,9;100,0;2,1;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;97,9;100,0;2,1;0,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Total;98,2;91,4;0,4;0,0;1,4;8,6
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;98,2;91,4;0,4;0,0;1,4;8,6
2021;Sudeste;SP;3500709;Agudos;Total;Estadual;95,6;89,8;0,4;0,0;4,0;10,2
2021;Sudeste;SP;3500709;Agudos;Urbana;Estadual;95,6;89,8;0,4;0,0;4,0;10,2
2021;Sudeste;SP;3500709;Agudos;Total;Municipal;99,6;--;0,4;--;0,0;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Municipal;99,6;--;0,4;--;0,0;--
2021;Sudeste;SP;3500709;Agudos;Total;Privada;99,5;100,0;0,5;0,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;99,5;100,0;0,5;0,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Pública;97,8;89,8;0,4;0,0;1,8;10,2
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;97,8;89,8;0,4;0,0;1,8;10,2
2021;Sudeste;SP;3500758;Alambari;Total;Total;94,5;100,0;5,5;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;95,5;100,0;4,5;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Total;89,4;--;10,6;--;0,0;--
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;90,5;--;9,5;--;0,0;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Municipal;90,9;--;9,1;--;0,0;--
2021;Sudeste;SP;3500758;Alambari;Rural;Municipal;89,4;--;10,6;--;0,0;--
2021;Sudeste;SP;3500758;Alambari;Total;Pública;94,5;100,0;5,5;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;95,5;100,0;4,5;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;89,4;--;10,6;--;0,0;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;99,0;91,1;0,0;0,0;1,0;8,9
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;99,0;91,1;0,0;0,0;1,0;8,9
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;99,0;91,1;0,0;0,0;1,0;8,9
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;99,0;91,1;0,0;0,0;1,0;8,9
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;99,0;91,1;0,0;0,0;1,0;8,9
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;99,0;91,1;0,0;0,0;1,0;8,9
2021;Sudeste;SP;3500907;Altair;Total;Total;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Total;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500907;Altair;Urbana;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500907;Altair;Total;Pública;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Pública;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;99,9;85,1;0,1;14,9;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;99,9;85,1;0,1;14,9;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Estadual;100,0;82,9;0,0;17,1;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Estadual;100,0;82,9;0,0;17,1;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Municipal;99,8;--;0,2;--;0,0;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Municipal;99,8;--;0,2;--;0,0;--
2021;Sudeste;SP;3501004;Altinópolis;Rural;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Pública;99,9;82,9;0,1;17,1;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Pública;99,9;82,9;0,1;17,1;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Rural;Pública;100,0;--;0,0;--;0,0;--
