UF_CODE;CO_MUNICIPIO;TXT_FUN_TX_PROMOCAO_TOTAL;TXT_FUN_TX_REPETENCIA_TOTAL;TXT_FUN_TX_EVASAO_TOTAL;TDI_FUN_TX_DIST_IDADE_SERIE_TOTAL;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO1;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO2;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO3;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO4;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO5;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_ALTA;DSU_FUN_PERC_DOC_SUPERIOR_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_FUN_TX_APROVACAO_TOTAL;TXR_FUN_TX_REPROVACAO_TOTAL;TXR_FUN_TX_ABANDONO_TOTAL;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2016;PERCENTUAL_FAMILIAS_PBF_2016
11;1100015;88.9;8.2;2.0;21.6;57.7;0.0;21.0;2.0;19.3;8.8;17.7;81.9;45.9;21.6;24.3;5.4;2.8000000000000003;0.0;90.4;6.5;3.1;45.2;13.8;7.8;25.900000000000002;3.4;3.9;2016;0;478217;0.06595
11;1100023;85.9;10.3;2.1;20.8;61.800000000000004;0.8;25.3;1.6;10.5;6.4;4.3;89.3;8.0;18.0;34.0;24.0;10.0;6.0;90.5;7.8;1.7;24.1;19.400000000000002;23.0;24.1;6.3;3.1;2016;0;2184346;0.04239
11;1100031;93.0;5.2;1.8;13.4;64.9;4.2;29.1;1.8;0.0;0.0;25.0;100.0;50.0;12.5;25.0;12.5;0.0;0.0;94.8;4.3;0.9;51.6;9.700000000000001;14.5;16.1;6.5;1.6;2016;0;133342;0.04118
11;1100049;91.8;5.6;1.6;13.6;59.1;2.4;20.400000000000002;2.9;15.200000000000001;8.8;3.5;84.10000000000001;8.2;29.5;31.1;26.2;3.3000000000000003;1.7;95.4;4.1;0.5;19.6;20.400000000000002;35.0;19.7;3.3000000000000003;2.0;2016;0;1947283;0.03424
11;1100056;87.9;9.5;1.5;17.8;62.5;0.9;26.900000000000002;1.8;7.9;6.7;0.0;90.4;25.0;31.3;25.0;18.7;0.0;0.0;91.3;8.0;0.7;56.300000000000004;7.1000000000000005;20.5;6.3;7.1000000000000005;2.7;2016;0;408194;0.04388
11;1100064;91.2;6.1;1.5;13.8;61.6;0.0;32.1;1.7;4.6000000000000005;0.0;23.6;96.0;5.9;70.60000000000001;0.0;23.5;0.0;0.0;93.3;5.4;1.3;48.0;19.2;7.5;21.2;3.4;0.7000000000000001;2016;0;306518;0.02452
11;1100072;85.2;10.8;3.3;24.6;48.800000000000004;0.0;35.7;1.2;14.3;11.1;0.0;85.7;0.0;50.0;30.0;20.0;0.0;0.0;90.8;7.2;2.0;25.7;8.6;42.9;15.700000000000001;5.7;1.4000000000000001;2016;0;236624;0.07201
11;1100080;80.3;14.1;4.1;26.2;44.1;0.4;31.2;3.9;20.400000000000002;6.3;6.1000000000000005;80.60000000000001;6.7;60.0;13.3;13.3;6.7;0.0;86.3;11.3;2.4;47.7;19.5;14.1;8.6;7.8;2.3000000000000003;2016;0;206101;0.10217
11;1100098;90.9;5.9;2.8;16.2;60.4;0.6;23.1;7.4;8.5;0.0;7.2;91.2;20.7;17.2;44.8;17.3;0.0;0.0;94.9;3.9;1.2;24.1;18.5;32.4;18.5;5.1000000000000005;1.4000000000000001;2016;0;543318;0.04732
11;1100106;83.2;12.2;3.2;30.1;40.7;0.7000000000000001;25.8;2.3000000000000003;30.5;10.0;26.7;72.5;27.9;10.3;48.5;8.8;4.5;0.0;89.1;8.2;2.7;22.900000000000002;21.8;33.2;15.6;3.4;3.1;2016;0;740352;0.07409
