NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2021;Norte;RO;1100064;Colorado do Oeste;Total;Federal;--;15.2
2021;Norte;RO;1100064;Colorado do Oeste;Rural;Federal;--;15.2
2021;Norte;RO;1100064;Colorado do Oeste;Total;Estadual;12.8;17.9
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Estadual;12.8;17.9
2021;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;4.6;--
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Municipal;2.6;--
2021;Norte;RO;1100064;Colorado do Oeste;Rural;Municipal;8.7;--
2021;Norte;RO;1100064;Colorado do Oeste;Total;Privada;1.3;--
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Privada;1.3;--
2021;Norte;RO;1100064;Colorado do Oeste;Total;Pública;8.1;16.4
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Pública;7.9;17.9
2021;Norte;RO;1100064;Colorado do Oeste;Rural;Pública;8.7;15.2
2021;Norte;RO;1100072;Corumbiara;Total;Total;12.9;21.1
2021;Norte;RO;1100072;Corumbiara;Urbana;Total;9.2;16.9
2021;Norte;RO;1100072;Corumbiara;Rural;Total;16.6;27.6
2021;Norte;RO;1100072;Corumbiara;Total;Estadual;14.5;21.1
2021;Norte;RO;1100072;Corumbiara;Urbana;Estadual;14.5;16.9
2021;Norte;RO;1100072;Corumbiara;Rural;Estadual;14.5;27.6
2021;Norte;RO;1100072;Corumbiara;Total;Municipal;11.6;--
2021;Norte;RO;1100072;Corumbiara;Urbana;Municipal;4.7;--
2021;Norte;RO;1100072;Corumbiara;Rural;Municipal;18.4;--
2021;Norte;RO;1100072;Corumbiara;Total;Pública;12.9;21.1
2021;Norte;RO;1100072;Corumbiara;Urbana;Pública;9.2;16.9
2021;Norte;RO;1100072;Corumbiara;Rural;Pública;16.6;27.6
2021;Norte;RO;1100080;Costa Marques;Total;Total;22.8;32.9
2021;Norte;RO;1100080;Costa Marques;Urbana;Total;18.7;30.5
2021;Norte;RO;1100080;Costa Marques;Rural;Total;28.3;39.5
2021;Norte;RO;1100080;Costa Marques;Total;Estadual;23.8;32.9
2021;Norte;RO;1100080;Costa Marques;Urbana;Estadual;23.4;30.5
2021;Norte;RO;1100080;Costa Marques;Rural;Estadual;25.4;39.5
2021;Norte;RO;1100080;Costa Marques;Total;Municipal;22.4;--
2021;Norte;RO;1100080;Costa Marques;Urbana;Municipal;14.9;--
2021;Norte;RO;1100080;Costa Marques;Rural;Municipal;28.8;--
2021;Norte;RO;1100080;Costa Marques;Total;Pública;22.8;32.9
2021;Norte;RO;1100080;Costa Marques;Urbana;Pública;18.7;30.5
2021;Norte;RO;1100080;Costa Marques;Rural;Pública;28.3;39.5
2021;Norte;RO;1100098;Espigão D'Oeste;Total;Total;10;14.7
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;Total;5.7;12.9
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;Total;29.2;83.9
2021;Norte;RO;1100098;Espigão D'Oeste;Total;Estadual;13.3;15
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;Estadual;6.4;13.2
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;Estadual;70.7;83.9
2021;Norte;RO;1100098;Espigão D'Oeste;Total;Municipal;7.4;--
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;Municipal;5.6;--
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;Municipal;12.1;--
2021;Norte;RO;1100098;Espigão D'Oeste;Total;Privada;0.5;4.5
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;Privada;0.5;4.5
2021;Norte;RO;1100098;Espigão D'Oeste;Total;Pública;10.5;15
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;Pública;6;13.2
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;Pública;29.2;83.9
2021;Norte;RO;1100106;Guajará-Mirim;Total;Total;24.2;39.2
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;Total;13.3;37.5
2021;Norte;RO;1100106;Guajará-Mirim;Rural;Total;66.6;90.8
2021;Norte;RO;1100106;Guajará-Mirim;Total;Federal;--;43.9
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;Federal;--;43.9
2021;Norte;RO;1100106;Guajará-Mirim;Total;Estadual;34.4;38.4
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;Estadual;17.9;36.2
2021;Norte;RO;1100106;Guajará-Mirim;Rural;Estadual;66.6;90.8
2021;Norte;RO;1100106;Guajará-Mirim;Total;Municipal;10.1;--
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;Municipal;10.1;--
2021;Norte;RO;1100106;Guajará-Mirim;Total;Privada;1.8;5.6
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;Privada;1.8;5.6
2021;Norte;RO;1100106;Guajará-Mirim;Total;Pública;25.7;39.5
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;Pública;14.3;37.8
2021;Norte;RO;1100106;Guajará-Mirim;Rural;Pública;66.6;90.8
2021;Norte;RO;1100114;Jaru;Total;Total;9.2;22.2
2021;Norte;RO;1100114;Jaru;Urbana;Total;8.7;22.4
2021;Norte;RO;1100114;Jaru;Rural;Total;15.8;15.5
2021;Norte;RO;1100114;Jaru;Total;Federal;--;9.1
2021;Norte;RO;1100114;Jaru;Urbana;Federal;--;9.1
2021;Norte;RO;1100114;Jaru;Total;Estadual;14.3;24.9
2021;Norte;RO;1100114;Jaru;Urbana;Estadual;14.3;24.9
2021;Norte;RO;1100114;Jaru;Rural;Estadual;50;--
2021;Norte;RO;1100114;Jaru;Total;Municipal;4.9;--
2021;Norte;RO;1100114;Jaru;Urbana;Municipal;3.3;--
2021;Norte;RO;1100114;Jaru;Rural;Municipal;15.7;--
2021;Norte;RO;1100114;Jaru;Total;Privada;1.4;12
2021;Norte;RO;1100114;Jaru;Urbana;Privada;1.4;4
2021;Norte;RO;1100114;Jaru;Rural;Privada;--;15.5
2021;Norte;RO;1100114;Jaru;Total;Pública;9.6;22.6
2021;Norte;RO;1100114;Jaru;Urbana;Pública;9.1;22.6
2021;Norte;RO;1100114;Jaru;Rural;Pública;15.8;--
2021;Norte;RO;1100122;Ji-Paraná;Total;Total;10.4;22.1
2021;Norte;RO;1100122;Ji-Paraná;Urbana;Total;8.3;21.5
2021;Norte;RO;1100122;Ji-Paraná;Rural;Total;33.3;35.6
2021;Norte;RO;1100122;Ji-Paraná;Total;Federal;--;12.9
2021;Norte;RO;1100122;Ji-Paraná;Urbana;Federal;--;12.9
2021;Norte;RO;1100122;Ji-Paraná;Total;Estadual;14.3;24.4
2021;Norte;RO;1100122;Ji-Paraná;Urbana;Estadual;11.2;23.4
2021;Norte;RO;1100122;Ji-Paraná;Rural;Estadual;87.8;98.4
2021;Norte;RO;1100122;Ji-Paraná;Total;Municipal;3.3;--
2021;Norte;RO;1100122;Ji-Paraná;Urbana;Municipal;1.9;--
2021;Norte;RO;1100122;Ji-Paraná;Rural;Municipal;8;--
2021;Norte;RO;1100122;Ji-Paraná;Total;Privada;0.7;6.5
2021;Norte;RO;1100122;Ji-Paraná;Urbana;Privada;0.7;1.5
2021;Norte;RO;1100122;Ji-Paraná;Rural;Privada;--;12.2
2021;Norte;RO;1100122;Ji-Paraná;Total;Pública;11.3;23.2
2021;Norte;RO;1100122;Ji-Paraná;Urbana;Pública;9.1;22.2
2021;Norte;RO;1100122;Ji-Paraná;Rural;Pública;33.3;98.4
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;Total;19.6;36.1
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Total;20.1;34.6
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;Total;17.9;46.1
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;Estadual;31.4;36.6
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Estadual;30.5;35.1
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;Estadual;36.6;46.1
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;Municipal;8.2;--
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Municipal;7.9;--
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;Municipal;8.8;--
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;Privada;1.8;9.1
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Privada;1.8;9.1
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;Pública;20.2;36.6
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Pública;20.9;35.1
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;Pública;17.9;46.1
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Total;6.5;22.1
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Total;6.4;22.1
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Total;6.8;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Estadual;5.4;22.1
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Estadual;5.4;22.1
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Municipal;6.8;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Municipal;6.8;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Municipal;6.8;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Pública;6.5;22.1
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Pública;6.4;22.1
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Pública;6.8;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;Total;13.9;24.4
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Total;14.1;24.4
2021;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Total;9.3;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;Estadual;21.8;24.9
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Estadual;21.8;24.9
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;Municipal;7.5;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Municipal;7.2;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Municipal;9.3;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;Privada;2.8;0
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Privada;2.8;0
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;Pública;14.4;24.9
