NU_ANO_CENSO;CO_UF;SG_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_TIPO_REDE;TP_LOCALIZACAO;TP_CAPITAL;QTD_ALUNOS_INSE;MEDIA_INSE;PC_NIVEL_1;PC_NIVEL_2;PC_NIVEL_3;PC_NIVEL_4;PC_NIVEL_5;PC_NIVEL_6;PC_NIVEL_7;PC_NIVEL_8
2021;35;SP;São Paulo;3500402;Águas da Prata;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500402;Águas da Prata;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500402;Águas da Prata;2;0;2;83;5,46;0;2,55;5,81;16,31;30,42;23,43;18,99;2,48
2021;35;SP;São Paulo;3500402;Águas da Prata;2;1;2;83;5,46;0;2,55;5,81;16,31;30,42;23,43;18,99;2,48
2021;35;SP;São Paulo;3500402;Águas da Prata;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500402;Águas da Prata;3;0;2;55;5,49;0;5,49;6,6;16,84;24,58;16,44;25,41;4,65
2021;35;SP;São Paulo;3500402;Águas da Prata;3;1;2;45;5,62;0;0;8,08;16,13;25,61;15,64;28,86;5,69
2021;35;SP;São Paulo;3500402;Águas da Prata;3;2;2;10;4,93;0;30;0;20;20;20;10;0
2021;35;SP;São Paulo;3500402;Águas da Prata;5;0;2;138;5,47;0;3,73;6,13;16,52;28,08;20,63;21,57;3,35
2021;35;SP;São Paulo;3500402;Águas da Prata;5;1;2;128;5,52;0;1,65;6,61;16,25;28,72;20,68;22,48;3,61
2021;35;SP;São Paulo;3500402;Águas da Prata;5;2;2;10;4,93;0;30;0;20;20;20;10;0
2021;35;SP;São Paulo;3500402;Águas da Prata;6;0;2;138;5,47;0;3,73;6,13;16,52;28,08;20,63;21,57;3,35
2021;35;SP;São Paulo;3500402;Águas da Prata;6;1;2;128;5,52;0;1,65;6,61;16,25;28,72;20,68;22,48;3,61
2021;35;SP;São Paulo;3500402;Águas da Prata;6;2;2;10;4,93;0;30;0;20;20;20;10;0
