NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_0;FUN_AI_CAT_0;FUN_AF_CAT_0;FUN_01_CAT_0;FUN_02_CAT_0;FUN_03_CAT_0;FUN_04_CAT_0;FUN_05_CAT_0;FUN_06_CAT_0;FUN_07_CAT_0;FUN_08_CAT_0;FUN_09_CAT_0;MED_CAT_0;MED_01_CAT_0;MED_02_CAT_0;MED_03_CAT_0;MED_04_CAT_0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Pública;13,5;7,1;21,7;0,5;0,3;1,4;13,0;18,3;17,9;20,6;24,8;24,1;19,4;21,0;19,3;17,5;--
2021;Sudeste;SP;3500303;Aguaí;Rural;Pública;6,2;6,2;--;0,0;0,0;0,0;11,1;13,3;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;8,6;3,8;15,6;0,0;0,0;5,5;4,0;10,3;17,4;16,2;16,2;12,3;17,4;8,8;21,7;24,4;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;10,0;3,9;15,6;0,0;0,0;6,7;2,3;10,3;17,4;16,2;16,2;12,3;17,4;8,8;21,7;24,4;--
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;3,5;3,5;--;0,0;0,0;3,6;6,5;10,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Estadual;15,6;--;15,6;--;--;--;--;--;17,4;16,2;16,2;12,3;17,4;8,8;21,7;24,4;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Estadual;15,6;--;15,6;--;--;--;--;--;17,4;16,2;16,2;12,3;17,4;8,8;21,7;24,4;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Municipal;3,8;3,8;--;0,0;0,0;5,5;4,0;10,3;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Municipal;3,9;3,9;--;0,0;0,0;6,7;2,3;10,3;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Municipal;3,5;3,5;--;0,0;0,0;3,6;6,5;10,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;8,6;3,8;15,6;0,0;0,0;5,5;4,0;10,3;17,4;16,2;16,2;12,3;17,4;8,8;21,7;24,4;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Pública;10,0;3,9;15,6;0,0;0,0;6,7;2,3;10,3;17,4;16,2;16,2;12,3;17,4;8,8;21,7;24,4;--
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Pública;3,5;3,5;--;0,0;0,0;3,6;6,5;10,0;--;--;--;--;--;--;--;--;--
