NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5
2021;Sudeste;SP;3500303;Aguaí;Total;Total;90,1;0,0;8,9;0,0;1,0;88,5;1,0;10,0;0,3;0,2;95,1;1,1;3,3;0,0;0,5;77,6;0,7;20,9;0,8;0,0;76,7;0,0;23,3;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;90,9;0,0;8,1;0,0;1,0;88,2;1,0;10,2;0,3;0,3;95,0;1,2;3,3;0,0;0,5;77,6;0,7;20,9;0,8;0,0;76,7;0,0;23,3;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;50,0;0,0;50,0;0,0;0,0;97,5;0,0;2,5;0,0;0,0;97,5;0,0;2,5;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Total;Estadual;--;--;--;--;--;87,1;0,0;11,7;0,0;1,2;92,6;0,0;0,0;0,0;7,4;86,0;0,0;14,0;0,0;0,0;76,8;0,0;23,2;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Estadual;--;--;--;--;--;87,1;0,0;11,7;0,0;1,2;92,6;0,0;0,0;0,0;7,4;86,0;0,0;14,0;0,0;0,0;76,8;0,0;23,2;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Municipal;95,2;0,0;3,6;0,0;1,2;93,4;0,6;6,0;0,0;0,0;96,1;0,7;3,2;0,0;0,0;80,3;0,0;19,7;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Urbana;Municipal;96,3;0,0;2,5;0,0;1,2;93,2;0,6;6,2;0,0;0,0;96,0;0,7;3,3;0,0;0,0;80,3;0,0;19,7;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Rural;Municipal;50,0;0,0;50,0;0,0;0,0;97,5;0,0;2,5;0,0;0,0;97,5;0,0;2,5;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Total;Privada;66,7;0,0;33,3;0,0;0,0;67,7;4,6;25,6;2,1;0,0;87,3;6,3;6,4;0,0;0,0;54,3;3,4;38,8;3,5;0,0;75,8;0,0;24,2;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Privada;66,7;0,0;33,3;0,0;0,0;67,7;4,6;25,6;2,1;0,0;87,3;6,3;6,4;0,0;0,0;54,3;3,4;38,8;3,5;0,0;75,8;0,0;24,2;0,0;0,0
