NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT1_CATFUN;1_CAT1_CATMED;1_CAT2_CATFUN;1_CAT2_CATMED;1_CAT3_CATFUN;1_CAT3_CATMED
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Total;97,4;96,0;0,8;0,0;1,8;4,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Total;98,8;96,2;0,3;1,4;0,8;1,7
2021;Sudeste;SP;3501301;Álvares Machado;Total;Pública;98,4;94,9;0,4;1,9;1,1;2,3
2021;Sudeste;SP;3501301;Álvares Machado;Total;Privada;99,9;100,0;0,1;0,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;98,8;96,2;0,3;1,4;0,8;1,7
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;99,1;100,0;0,5;0,0;0,4;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;99,1;100,0;0,5;0,0;0,4;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;99,1;100,0;0,5;0,0;0,4;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Total;99,8;100,0;0,0;0,0;0,2;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Pública;99,8;100,0;0,0;0,0;0,2;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Total;99,8;100,0;0,0;0,0;0,2;0,0
2021;Sudeste;SP;3501608;Americana;Total;Total;98,7;94,8;0,7;2,5;0,6;2,1
2021;Sudeste;SP;3501608;Americana;Total;Pública;98,4;93,4;0,9;3,2;0,7;2,6
2021;Sudeste;SP;3501608;Americana;Total;Privada;99,2;99,0;0,5;0,1;0,3;0,7
2021;Sudeste;SP;3501608;Americana;Urbana;Total;98,7;94,8;0,7;2,5;0,6;2,1
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Total;98,4;91,1;1,2;4,7;0,4;3,4
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Pública;98,6;90,7;1,0;5,0;0,4;3,5
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Privada;95,8;98,3;3,3;0,0;0,9;1,7
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Total;98,4;91,1;1,2;4,7;0,4;3,4
2021;Sudeste;SP;3501806;Américo de Campos;Total;Total;99,2;97,4;0,3;1,0;0,5;1,6
2021;Sudeste;SP;3501806;Américo de Campos;Total;Pública;99,2;97,4;0,3;1,0;0,5;1,6
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Total;99,2;97,4;0,3;1,0;0,5;1,6
2021;Sudeste;SP;3501905;Amparo;Total;Total;98,7;95,4;0,5;1,7;0,6;2,0
2021;Sudeste;SP;3501905;Amparo;Total;Pública;98,4;94,6;0,6;2,0;0,8;2,3
2021;Sudeste;SP;3501905;Amparo;Total;Privada;99,7;99,3;0,3;0,0;0,0;0,7
2021;Sudeste;SP;3501905;Amparo;Urbana;Total;98,8;95,6;0,4;1,7;0,7;1,8
2021;Sudeste;SP;3501905;Amparo;Rural;Total;97,8;92,5;1,7;1,2;0,5;5,6
2021;Sudeste;SP;3502002;Analândia;Total;Total;97,2;94,6;1,7;0,0;0,4;1,8
2021;Sudeste;SP;3502002;Analândia;Total;Pública;97,2;94,6;1,7;0,0;0,4;1,8
2021;Sudeste;SP;3502002;Analândia;Urbana;Total;97,2;94,6;1,7;0,0;0,4;1,8
2021;Sudeste;SP;3502101;Andradina;Total;Total;99,4;96,5;0,2;0,6;0,4;2,0
2021;Sudeste;SP;3502101;Andradina;Total;Pública;99,3;95,6;0,3;0,8;0,4;2,6
2021;Sudeste;SP;3502101;Andradina;Total;Privada;99,7;99,8;0,1;0,0;0,2;0,2
2021;Sudeste;SP;3502101;Andradina;Urbana;Total;99,4;96,5;0,3;0,5;0,3;2,1
2021;Sudeste;SP;3502101;Andradina;Rural;Total;100,0;97,2;0,0;1,4;0,0;1,4
2021;Sudeste;SP;3502200;Angatuba;Total;Total;99,1;93,3;0,5;4,8;0,2;1,2
2021;Sudeste;SP;3502200;Angatuba;Total;Pública;99,1;93,3;0,5;5,0;0,2;1,1
2021;Sudeste;SP;3502200;Angatuba;Total;Privada;100,0;95,5;0,0;0,0;0,0;4,5
2021;Sudeste;SP;3502200;Angatuba;Urbana;Total;99,2;93,3;0,3;4,8;0,2;1,2
2021;Sudeste;SP;3502200;Angatuba;Rural;Total;98,9;--;0,8;--;0,1;--
2021;Sudeste;SP;3502309;Anhembi;Total;Total;98,7;95,3;0,1;0,0;0,9;2,3
2021;Sudeste;SP;3502309;Anhembi;Total;Pública;98,7;95,3;0,1;0,0;0,9;2,3
2021;Sudeste;SP;3502309;Anhembi;Urbana;Total;98,7;95,3;0,1;0,0;0,9;2,3
2021;Sudeste;SP;3502408;Anhumas;Total;Total;97,7;89,5;1,1;8,4;0,9;2,1
2021;Sudeste;SP;3502408;Anhumas;Total;Pública;97,7;89,5;1,1;8,4;0,9;2,1
2021;Sudeste;SP;3502408;Anhumas;Urbana;Total;97,7;89,5;1,1;8,4;0,9;2,1
2021;Sudeste;SP;3502507;Aparecida;Total;Total;98,3;96,5;1,0;1,1;0,6;1,5
2021;Sudeste;SP;3502507;Aparecida;Total;Pública;98,4;96,4;0,9;1,1;0,6;1,5
2021;Sudeste;SP;3502507;Aparecida;Total;Privada;97,4;100,0;1,7;0,0;0,9;0,0
2021;Sudeste;SP;3502507;Aparecida;Urbana;Total;98,3;96,5;1,0;1,1;0,6;1,5
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Total;99,3;99,2;0,0;0,0;0,5;0,8
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Pública;99,3;99,2;0,0;0,0;0,5;0,8
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Total;99,3;99,2;0,0;0,0;0,5;0,8
2021;Sudeste;SP;3502705;Apiaí;Total;Total;99,3;94,9;0,4;1,5;0,3;3,4
2021;Sudeste;SP;3502705;Apiaí;Total;Pública;99,2;94,7;0,4;1,6;0,4;3,5
2021;Sudeste;SP;3502705;Apiaí;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3502705;Apiaí;Urbana;Total;99,3;95,8;0,3;1,8;0,4;2,3
2021;Sudeste;SP;3502705;Apiaí;Rural;Total;99,2;92,1;0,6;0,4;0,2;7,0
2021;Sudeste;SP;3502754;Araçariguama;Total;Total;97,9;95,8;1,3;1,4;0,7;1,7
2021;Sudeste;SP;3502754;Araçariguama;Total;Pública;98,0;95,8;1,4;1,4;0,5;1,7
2021;Sudeste;SP;3502754;Araçariguama;Total;Privada;97,1;--;1,0;--;1,9;--
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Total;97,7;95,8;1,5;1,4;0,7;1,7
2021;Sudeste;SP;3502754;Araçariguama;Rural;Total;98,8;--;0,5;--;0,7;--
2021;Sudeste;SP;3502804;Araçatuba;Total;Total;98,5;95,7;0,4;0,5;1,1;3,5
2021;Sudeste;SP;3502804;Araçatuba;Total;Pública;98,2;94,5;0,4;0,6;1,3;4,4
2021;Sudeste;SP;3502804;Araçatuba;Total;Privada;99,3;99,2;0,4;0,1;0,3;0,5
2021;Sudeste;SP;3502804;Araçatuba;Urbana;Total;98,7;95,7;0,4;0,5;0,9;3,5
2021;Sudeste;SP;3502804;Araçatuba;Rural;Total;74,5;--;2,9;--;21,2;--
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Total;99,4;98,6;0,2;0,9;0,4;0,4
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Pública;99,4;98,6;0,2;0,9;0,4;0,4
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Privada;99,5;100,0;0,0;0,0;0,5;0,0
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Urbana;Total;99,4;98,6;0,2;0,9;0,4;0,4
2021;Sudeste;SP;3503000;Aramina;Total;Total;96,7;91,0;2,4;3,4;0,6;4,8
2021;Sudeste;SP;3503000;Aramina;Total;Pública;96,7;91,0;2,4;3,4;0,6;4,8
2021;Sudeste;SP;3503000;Aramina;Urbana;Total;96,7;91,0;2,4;3,4;0,6;4,8
2021;Sudeste;SP;3503109;Arandu;Total;Total;99,4;89,9;0,1;9,5;0,4;0,6
2021;Sudeste;SP;3503109;Arandu;Total;Pública;99,4;89,9;0,1;9,5;0,4;0,6
2021;Sudeste;SP;3503109;Arandu;Urbana;Total;99,4;89,9;0,1;9,5;0,4;0,6
2021;Sudeste;SP;3503158;Arapeí;Total;Total;98,8;96,9;0,6;1,0;0,0;2,1
2021;Sudeste;SP;3503158;Arapeí;Total;Pública;98,8;96,9;0,6;1,0;0,0;2,1
2021;Sudeste;SP;3503158;Arapeí;Urbana;Total;98,8;96,9;0,6;1,0;0,0;2,1
2021;Sudeste;SP;3503208;Araraquara;Total;Total;98,9;97,2;0,5;0,9;0,6;1,3
2021;Sudeste;SP;3503208;Araraquara;Total;Pública;98,8;96,4;0,6;1,1;0,5;1,6
2021;Sudeste;SP;3503208;Araraquara;Total;Privada;99,1;99,6;0,4;0,1;0,5;0,3
2021;Sudeste;SP;3503208;Araraquara;Urbana;Total;98,9;97,2;0,5;0,9;0,6;1,3
2021;Sudeste;SP;3503208;Araraquara;Rural;Total;99,2;--;0,3;--;0,5;--
2021;Sudeste;SP;3503307;Araras;Total;Total;98,9;94,0;0,3;1,4;0,7;3,4
2021;Sudeste;SP;3503307;Araras;Total;Pública;98,8;93,2;0,4;1,6;0,8;3,9
2021;Sudeste;SP;3503307;Araras;Total;Privada;99,3;99,5;0,2;0,2;0,5;0,3
2021;Sudeste;SP;3503307;Araras;Urbana;Total;98,8;94,0;0,3;1,4;0,8;3,4
2021;Sudeste;SP;3503307;Araras;Rural;Total;99,6;--;0,2;--;0,0;--
2021;Sudeste;SP;3503356;Arco-Íris;Total;Total;99,2;97,5;0,4;2,5;0,4;0,0
2021;Sudeste;SP;3503356;Arco-Íris;Total;Pública;99,2;97,5;0,4;2,5;0,4;0,0
2021;Sudeste;SP;3503356;Arco-Íris;Urbana;Total;99,0;96,9;0,5;3,1;0,5;0,0
2021;Sudeste;SP;3503356;Arco-Íris;Rural;Total;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3503406;Arealva;Total;Total;98,7;93,8;1,2;3,5;0,1;2,7
2021;Sudeste;SP;3503406;Arealva;Total;Pública;98,7;93,8;1,2;3,5;0,1;2,7
2021;Sudeste;SP;3503406;Arealva;Urbana;Total;98,7;93,8;1,1;3,5;0,2;2,7
2021;Sudeste;SP;3503406;Arealva;Rural;Total;98,4;--;1,6;--;0,0;--
2021;Sudeste;SP;3503505;Areias;Total;Total;97,6;94,9;0,2;1,4;2,2;3,7
2021;Sudeste;SP;3503505;Areias;Total;Pública;97,6;94,9;0,2;1,4;2,2;3,7
2021;Sudeste;SP;3503505;Areias;Urbana;Total;97,6;94,9;0,2;1,4;2,2;3,7
2021;Sudeste;SP;3503505;Areias;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3503604;Areiópolis;Total;Total;98,5;91,2;0,5;0,9;0,2;2,5
2021;Sudeste;SP;3503604;Areiópolis;Total;Pública;98,5;91,2;0,5;0,9;0,2;2,5
2021;Sudeste;SP;3503604;Areiópolis;Urbana;Total;98,5;91,2;0,5;0,9;0,2;2,5
2021;Sudeste;SP;3503703;Ariranha;Total;Total;99,0;93,7;0,5;0,5;0,5;3,9
2021;Sudeste;SP;3503703;Ariranha;Total;Pública;99,0;93,7;0,5;0,5;0,5;3,9
2021;Sudeste;SP;3503703;Ariranha;Urbana;Total;99,0;93,7;0,5;0,5;0,5;3,9
2021;Sudeste;SP;3503802;Artur Nogueira;Total;Total;98,2;95,6;0,6;0,3;1,0;3,2
2021;Sudeste;SP;3503802;Artur Nogueira;Total;Pública;98,2;95,4;0,5;0,3;1,1;3,4
2021;Sudeste;SP;3503802;Artur Nogueira;Total;Privada;98,4;98,9;1,2;1,1;0,4;0,0
2021;Sudeste;SP;3503802;Artur Nogueira;Urbana;Total;98,2;95,6;0,6;0,3;1,0;3,2
2021;Sudeste;SP;3503901;Arujá;Total;Total;99,2;95,2;0,5;2,6;0,3;1,5
2021;Sudeste;SP;3503901;Arujá;Total;Pública;99,2;94,8;0,4;2,8;0,3;1,6
2021;Sudeste;SP;3503901;Arujá;Total;Privada;98,6;98,5;0,8;0,5;0,6;0,7
2021;Sudeste;SP;3503901;Arujá;Urbana;Total;99,2;95,2;0,4;2,6;0,3;1,5
2021;Sudeste;SP;3503901;Arujá;Rural;Total;98,7;--;0,7;--;0,6;--
2021;Sudeste;SP;3503950;Aspásia;Total;Total;99,0;100,0;0,0;0,0;1,0;0,0
2021;Sudeste;SP;3503950;Aspásia;Total;Pública;99,0;100,0;0,0;0,0;1,0;0,0
2021;Sudeste;SP;3503950;Aspásia;Urbana;Total;99,0;100,0;0,0;0,0;1,0;0,0
2021;Sudeste;SP;3504008;Assis;Total;Total;98,8;93,8;0,8;2,7;0,4;2,2
2021;Sudeste;SP;3504008;Assis;Total;Pública;98,6;92,6;0,9;3,3;0,4;2,7
2021;Sudeste;SP;3504008;Assis;Total;Privada;99,7;99,2;0,0;0,3;0,3;0,2
2021;Sudeste;SP;3504008;Assis;Urbana;Total;98,8;93,8;0,8;2,7;0,4;2,2
2021;Sudeste;SP;3504107;Atibaia;Total;Total;98,7;96,7;0,4;0,9;0,9;2,3
2021;Sudeste;SP;3504107;Atibaia;Total;Pública;98,9;96,2;0,3;1,1;0,8;2,6
2021;Sudeste;SP;3504107;Atibaia;Total;Privada;98,0;98,8;1,1;0,2;0,9;1,0
2021;Sudeste;SP;3504107;Atibaia;Urbana;Total;98,8;97,3;0,5;0,9;0,7;1,7
2021;Sudeste;SP;3504107;Atibaia;Rural;Total;98,5;94,0;0,4;1,2;1,1;4,8
2021;Sudeste;SP;3504206;Auriflama;Total;Total;99,5;99,0;0,2;0,0;0,3;1,0
2021;Sudeste;SP;3504206;Auriflama;Total;Pública;99,4;98,8;0,3;0,0;0,3;1,2
2021;Sudeste;SP;3504206;Auriflama;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3504206;Auriflama;Urbana;Total;99,5;99,0;0,2;0,0;0,3;1,0
2021;Sudeste;SP;3504305;Avaí;Total;Total;99,1;94,7;0,3;1,5;0,6;3,8
2021;Sudeste;SP;3504305;Avaí;Total;Pública;99,1;94,7;0,3;1,5;0,6;3,8
2021;Sudeste;SP;3504305;Avaí;Urbana;Total;99,4;94,0;0,2;1,7;0,4;4,3
2021;Sudeste;SP;3504305;Avaí;Rural;Total;98,2;100,0;0,9;0,0;0,9;0,0
2021;Sudeste;SP;3504404;Avanhandava;Total;Total;99,2;97,7;0,1;0,3;0,6;1,7
2021;Sudeste;SP;3504404;Avanhandava;Total;Pública;99,2;97,2;0,2;0,4;0,5;2,1
2021;Sudeste;SP;3504404;Avanhandava;Total;Privada;99,1;100,0;0,0;0,0;0,9;0,0
2021;Sudeste;SP;3504404;Avanhandava;Urbana;Total;99,2;97,7;0,1;0,3;0,6;1,7
2021;Sudeste;SP;3504503;Avaré;Total;Total;98,9;90,9;0,4;2,8;0,6;5,4
2021;Sudeste;SP;3504503;Avaré;Total;Pública;99,0;89,6;0,3;3,3;0,6;6,2
2021;Sudeste;SP;3504503;Avaré;Total;Privada;98,8;99,2;0,7;0,0;0,5;0,8
2021;Sudeste;SP;3504503;Avaré;Urbana;Total;98,9;90,9;0,4;2,8;0,6;5,4
2021;Sudeste;SP;3504503;Avaré;Rural;Total;99,2;--;0,0;--;0,8;--
2021;Sudeste;SP;3504602;Bady Bassitt;Total;Total;98,2;95,1;0,6;0,3;0,8;4,6
2021;Sudeste;SP;3504602;Bady Bassitt;Total;Pública;98,0;95,1;0,7;0,4;0,8;4,5
2021;Sudeste;SP;3504602;Bady Bassitt;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3504602;Bady Bassitt;Urbana;Total;98,2;95,1;0,6;0,3;0,8;4,6
2021;Sudeste;SP;3504701;Balbinos;Total;Total;100,0;95,0;0,0;2,5;0,0;2,5
2021;Sudeste;SP;3504701;Balbinos;Total;Pública;100,0;95,0;0,0;2,5;0,0;2,5
2021;Sudeste;SP;3504701;Balbinos;Urbana;Total;100,0;95,0;0,0;2,5;0,0;2,5
2021;Sudeste;SP;3504800;Bálsamo;Total;Total;99,6;98,6;0,0;0,5;0,4;0,9
2021;Sudeste;SP;3504800;Bálsamo;Total;Pública;99,6;98,6;0,0;0,5;0,4;0,9
2021;Sudeste;SP;3504800;Bálsamo;Urbana;Total;99,6;98,6;0,0;0,5;0,4;0,9
2021;Sudeste;SP;3504909;Bananal;Total;Total;94,9;93,2;3,1;6,8;2,0;0,0
2021;Sudeste;SP;3504909;Bananal;Total;Pública;94,9;93,2;3,1;6,8;2,0;0,0
2021;Sudeste;SP;3504909;Bananal;Urbana;Total;94,8;93,2;3,1;6,8;2,0;0,0
2021;Sudeste;SP;3504909;Bananal;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3505005;Barão de Antonina;Total;Total;98,6;95,0;1,0;2,9;0,4;2,1
2021;Sudeste;SP;3505005;Barão de Antonina;Total;Pública;98,6;95,0;1,0;2,9;0,4;2,1
2021;Sudeste;SP;3505005;Barão de Antonina;Urbana;Total;98,5;95,0;1,0;2,9;0,5;2,1
2021;Sudeste;SP;3505005;Barão de Antonina;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3505104;Barbosa;Total;Total;97,5;94,3;0,6;1,1;1,9;4,0
2021;Sudeste;SP;3505104;Barbosa;Total;Pública;97,5;94,3;0,6;1,1;1,9;4,0
2021;Sudeste;SP;3505104;Barbosa;Urbana;Total;97,5;94,3;0,6;1,1;1,9;4,0
2021;Sudeste;SP;3505203;Bariri;Total;Total;98,9;95,4;0,5;1,4;0,4;3,0
2021;Sudeste;SP;3505203;Bariri;Total;Pública;98,8;94,6;0,5;1,6;0,4;3,4
2021;Sudeste;SP;3505203;Bariri;Total;Privada;99,4;100,0;0,5;0,0;0,1;0,0
2021;Sudeste;SP;3505203;Bariri;Urbana;Total;98,9;95,4;0,5;1,4;0,4;3,0
2021;Sudeste;SP;3505302;Barra Bonita;Total;Total;99,1;98,0;0,3;0,3;0,6;1,5
2021;Sudeste;SP;3505302;Barra Bonita;Total;Pública;99,0;97,8;0,3;0,3;0,7;1,7
2021;Sudeste;SP;3505302;Barra Bonita;Total;Privada;99,6;99,4;0,1;0,0;0,2;0,6
2021;Sudeste;SP;3505302;Barra Bonita;Urbana;Total;99,1;98,0;0,3;0,3;0,6;1,5
2021;Sudeste;SP;3505351;Barra do Chapéu;Total;Total;99,9;99,2;0,0;0,4;0,1;0,0
2021;Sudeste;SP;3505351;Barra do Chapéu;Total;Pública;99,9;99,2;0,0;0,4;0,1;0,0
2021;Sudeste;SP;3505351;Barra do Chapéu;Urbana;Total;100,0;99,3;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3505351;Barra do Chapéu;Rural;Total;99,7;99,0;0,0;1,0;0,3;0,0
2021;Sudeste;SP;3505401;Barra do Turvo;Total;Total;98,1;93,3;0,1;0,3;1,8;6,4
2021;Sudeste;SP;3505401;Barra do Turvo;Total;Pública;98,1;93,3;0,1;0,3;1,8;6,4
2021;Sudeste;SP;3505401;Barra do Turvo;Urbana;Total;97,4;91,4;0,2;0,5;2,4;8,1
2021;Sudeste;SP;3505401;Barra do Turvo;Rural;Total;99,3;98,7;0,0;0,0;0,7;1,3
2021;Sudeste;SP;3505500;Barretos;Total;Total;98,4;94,8;0,4;2,7;1,2;2,0
2021;Sudeste;SP;3505500;Barretos;Total;Pública;98,2;93,9;0,4;3,1;1,4;2,3
2021;Sudeste;SP;3505500;Barretos;Total;Privada;99,4;98,9;0,3;0,6;0,3;0,5
