NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;4_CAT_FUN;4_CAT_MED
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;0,3;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Pública;1,0;1,9
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;1,0;1,9
2021;Sudeste;SP;3500758;Alambari;Total;Total;0,8;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;1,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Total;0,0;--
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;0,3;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;0,3;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;1,2;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Municipal;1,7;--
2021;Sudeste;SP;3500758;Alambari;Rural;Municipal;0,0;--
2021;Sudeste;SP;3500758;Alambari;Total;Pública;0,8;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;1,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;0,0;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;0,5;0,8
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;0,5;0,8
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;0,5;0,8
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;0,5;0,8
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;0,5;0,8
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;0,5;0,8
2021;Sudeste;SP;3500907;Altair;Total;Total;2,2;3,5
2021;Sudeste;SP;3500907;Altair;Urbana;Total;2,2;3,5
2021;Sudeste;SP;3500907;Altair;Total;Estadual;2,5;3,5
2021;Sudeste;SP;3500907;Altair;Urbana;Estadual;2,5;3,5
2021;Sudeste;SP;3500907;Altair;Total;Municipal;2,0;--
2021;Sudeste;SP;3500907;Altair;Urbana;Municipal;2,0;--
2021;Sudeste;SP;3500907;Altair;Total;Pública;2,2;3,5
2021;Sudeste;SP;3500907;Altair;Urbana;Pública;2,2;3,5
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;0,9;0,6
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;0,9;0,6
2021;Sudeste;SP;3501004;Altinópolis;Rural;Total;0,9;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Estadual;0,3;0,7
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Estadual;0,3;0,7
2021;Sudeste;SP;3501004;Altinópolis;Total;Municipal;1,2;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Municipal;1,2;--
2021;Sudeste;SP;3501004;Altinópolis;Rural;Municipal;0,9;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Privada;0,4;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Privada;0,4;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Pública;1,0;0,7
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Pública;1,0;0,7
2021;Sudeste;SP;3501004;Altinópolis;Rural;Pública;0,9;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Total;2,1;1,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;2,1;1,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Estadual;3,5;1,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Estadual;3,5;1,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Municipal;0,9;--
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Municipal;0,9;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Pública;2,1;1,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Pública;2,1;1,0
2021;Sudeste;SP;3501152;Alumínio;Total;Total;0,8;0,8
2021;Sudeste;SP;3501152;Alumínio;Urbana;Total;0,8;0,8
2021;Sudeste;SP;3501152;Alumínio;Rural;Total;0,0;--
2021;Sudeste;SP;3501152;Alumínio;Total;Estadual;--;0,9
2021;Sudeste;SP;3501152;Alumínio;Urbana;Estadual;--;0,9
2021;Sudeste;SP;3501152;Alumínio;Total;Municipal;0,9;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Municipal;1,0;--
2021;Sudeste;SP;3501152;Alumínio;Rural;Municipal;0,0;--
2021;Sudeste;SP;3501152;Alumínio;Total;Privada;0,3;0,5
2021;Sudeste;SP;3501152;Alumínio;Urbana;Privada;0,3;0,5
2021;Sudeste;SP;3501152;Alumínio;Total;Pública;0,9;0,9
2021;Sudeste;SP;3501152;Alumínio;Urbana;Pública;1,0;0,9
2021;Sudeste;SP;3501152;Alumínio;Rural;Pública;0,0;--
2021;Sudeste;SP;3501202;Álvares Florence;Total;Total;0,3;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Total;0,3;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Estadual;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Estadual;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Municipal;0,4;--
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Municipal;0,4;--
2021;Sudeste;SP;3501202;Álvares Florence;Total;Pública;0,3;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Pública;0,3;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Total;0,9;0,6
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;0,9;0,6
2021;Sudeste;SP;3501301;Álvares Machado;Total;Estadual;--;0,8
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Estadual;--;0,8
2021;Sudeste;SP;3501301;Álvares Machado;Total;Municipal;1,2;--
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Municipal;1,2;--
2021;Sudeste;SP;3501301;Álvares Machado;Total;Privada;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Privada;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Pública;1,2;0,8
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Pública;1,2;0,8
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;0,7;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;0,7;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Estadual;0,5;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Estadual;0,5;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Municipal;0,9;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Municipal;0,9;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;0,7;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Pública;0,7;1,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Total;0,3;2,4
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Total;0,3;2,4
2021;Sudeste;SP;3501509;Alvinlândia;Total;Estadual;0,5;2,4
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Estadual;0,5;2,4
2021;Sudeste;SP;3501509;Alvinlândia;Total;Municipal;0,0;--
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Municipal;0,0;--
2021;Sudeste;SP;3501509;Alvinlândia;Total;Pública;0,3;2,4
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Pública;0,3;2,4
2021;Sudeste;SP;3501608;Americana;Total;Total;0,6;1,0
2021;Sudeste;SP;3501608;Americana;Urbana;Total;0,6;1,0
2021;Sudeste;SP;3501608;Americana;Total;Estadual;1,0;1,1
2021;Sudeste;SP;3501608;Americana;Urbana;Estadual;1,0;1,1
2021;Sudeste;SP;3501608;Americana;Total;Municipal;0,6;--
2021;Sudeste;SP;3501608;Americana;Urbana;Municipal;0,6;--
2021;Sudeste;SP;3501608;Americana;Total;Privada;0,2;0,5
2021;Sudeste;SP;3501608;Americana;Urbana;Privada;0,2;0,5
2021;Sudeste;SP;3501608;Americana;Total;Pública;0,8;1,1
2021;Sudeste;SP;3501608;Americana;Urbana;Pública;0,8;1,1
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Total;0,6;1,5
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Total;0,6;1,5
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Estadual;0,8;1,6
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Estadual;0,8;1,6
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Municipal;0,7;--
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Municipal;0,7;--
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Privada;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Privada;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Pública;0,7;1,6
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Pública;0,7;1,6
2021;Sudeste;SP;3501806;Américo de Campos;Total;Total;1,9;1,9
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Total;1,9;1,9
2021;Sudeste;SP;3501806;Américo de Campos;Total;Estadual;2,4;2,2
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Estadual;2,4;2,2
2021;Sudeste;SP;3501806;Américo de Campos;Total;Municipal;1,9;1,7
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Municipal;1,9;1,7
2021;Sudeste;SP;3501806;Américo de Campos;Total;Pública;1,9;1,9
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Pública;1,9;1,9
2021;Sudeste;SP;3501905;Amparo;Total;Total;0,5;0,8
2021;Sudeste;SP;3501905;Amparo;Urbana;Total;0,5;0,9
2021;Sudeste;SP;3501905;Amparo;Rural;Total;0,2;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Estadual;0,7;0,9
2021;Sudeste;SP;3501905;Amparo;Urbana;Estadual;0,7;1,0
2021;Sudeste;SP;3501905;Amparo;Rural;Estadual;0,2;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Municipal;0,5;--
2021;Sudeste;SP;3501905;Amparo;Urbana;Municipal;0,5;--
2021;Sudeste;SP;3501905;Amparo;Rural;Municipal;0,0;--
2021;Sudeste;SP;3501905;Amparo;Total;Privada;0,3;0,2
2021;Sudeste;SP;3501905;Amparo;Urbana;Privada;0,3;0,2
2021;Sudeste;SP;3501905;Amparo;Total;Pública;0,6;0,9
2021;Sudeste;SP;3501905;Amparo;Urbana;Pública;0,6;1,0
2021;Sudeste;SP;3501905;Amparo;Rural;Pública;0,2;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Total;0,7;1,8
2021;Sudeste;SP;3502002;Analândia;Urbana;Total;0,7;1,8
2021;Sudeste;SP;3502002;Analândia;Total;Estadual;--;1,8
2021;Sudeste;SP;3502002;Analândia;Urbana;Estadual;--;1,8
2021;Sudeste;SP;3502002;Analândia;Total;Municipal;0,7;--
2021;Sudeste;SP;3502002;Analândia;Urbana;Municipal;0,7;--
2021;Sudeste;SP;3502002;Analândia;Total;Pública;0,7;1,8
2021;Sudeste;SP;3502002;Analândia;Urbana;Pública;0,7;1,8
2021;Sudeste;SP;3502101;Andradina;Total;Total;0,5;1,0
2021;Sudeste;SP;3502101;Andradina;Urbana;Total;0,5;1,0
2021;Sudeste;SP;3502101;Andradina;Rural;Total;0,0;0,5
2021;Sudeste;SP;3502101;Andradina;Total;Estadual;0,4;1,1
2021;Sudeste;SP;3502101;Andradina;Urbana;Estadual;0,4;1,2
2021;Sudeste;SP;3502101;Andradina;Rural;Estadual;0,0;0,5
2021;Sudeste;SP;3502101;Andradina;Total;Municipal;0,8;--
2021;Sudeste;SP;3502101;Andradina;Urbana;Municipal;0,8;--
2021;Sudeste;SP;3502101;Andradina;Rural;Municipal;0,0;--
2021;Sudeste;SP;3502101;Andradina;Total;Privada;0,0;0,5
2021;Sudeste;SP;3502101;Andradina;Urbana;Privada;0,0;0,5
2021;Sudeste;SP;3502101;Andradina;Total;Pública;0,7;1,1
2021;Sudeste;SP;3502101;Andradina;Urbana;Pública;0,7;1,2
2021;Sudeste;SP;3502101;Andradina;Rural;Pública;0,0;0,5
2021;Sudeste;SP;3502200;Angatuba;Total;Total;0,5;0,1
2021;Sudeste;SP;3502200;Angatuba;Urbana;Total;0,5;0,1
2021;Sudeste;SP;3502200;Angatuba;Rural;Total;0,5;--
2021;Sudeste;SP;3502200;Angatuba;Total;Estadual;0,8;0,1
2021;Sudeste;SP;3502200;Angatuba;Urbana;Estadual;0,8;0,1
2021;Sudeste;SP;3502200;Angatuba;Total;Municipal;0,5;--
2021;Sudeste;SP;3502200;Angatuba;Urbana;Municipal;0,5;--
2021;Sudeste;SP;3502200;Angatuba;Rural;Municipal;0,5;--
2021;Sudeste;SP;3502200;Angatuba;Total;Privada;0,0;--
2021;Sudeste;SP;3502200;Angatuba;Urbana;Privada;0,0;--
2021;Sudeste;SP;3502200;Angatuba;Total;Pública;0,5;0,1
2021;Sudeste;SP;3502200;Angatuba;Urbana;Pública;0,5;0,1
2021;Sudeste;SP;3502200;Angatuba;Rural;Pública;0,5;--
2021;Sudeste;SP;3502309;Anhembi;Total;Total;1,6;0,4
2021;Sudeste;SP;3502309;Anhembi;Urbana;Total;1,6;0,4
2021;Sudeste;SP;3502309;Anhembi;Total;Estadual;--;0,4
2021;Sudeste;SP;3502309;Anhembi;Urbana;Estadual;--;0,4
2021;Sudeste;SP;3502309;Anhembi;Total;Municipal;1,6;--
2021;Sudeste;SP;3502309;Anhembi;Urbana;Municipal;1,6;--
2021;Sudeste;SP;3502309;Anhembi;Total;Pública;1,6;0,4
2021;Sudeste;SP;3502309;Anhembi;Urbana;Pública;1,6;0,4
2021;Sudeste;SP;3502408;Anhumas;Total;Total;1,4;3,2
2021;Sudeste;SP;3502408;Anhumas;Urbana;Total;1,4;3,2
2021;Sudeste;SP;3502408;Anhumas;Total;Estadual;1,6;3,2
2021;Sudeste;SP;3502408;Anhumas;Urbana;Estadual;1,6;3,2
2021;Sudeste;SP;3502408;Anhumas;Total;Municipal;1,3;--
2021;Sudeste;SP;3502408;Anhumas;Urbana;Municipal;1,3;--
2021;Sudeste;SP;3502408;Anhumas;Total;Pública;1,4;3,2
2021;Sudeste;SP;3502408;Anhumas;Urbana;Pública;1,4;3,2
2021;Sudeste;SP;3502507;Aparecida;Total;Total;0,7;1,7
2021;Sudeste;SP;3502507;Aparecida;Urbana;Total;0,7;1,7
2021;Sudeste;SP;3502507;Aparecida;Total;Estadual;--;1,7
2021;Sudeste;SP;3502507;Aparecida;Urbana;Estadual;--;1,7
2021;Sudeste;SP;3502507;Aparecida;Total;Municipal;0,8;--
2021;Sudeste;SP;3502507;Aparecida;Urbana;Municipal;0,8;--
2021;Sudeste;SP;3502507;Aparecida;Total;Privada;0,0;0,0
2021;Sudeste;SP;3502507;Aparecida;Urbana;Privada;0,0;0,0
2021;Sudeste;SP;3502507;Aparecida;Total;Pública;0,8;1,7
2021;Sudeste;SP;3502507;Aparecida;Urbana;Pública;0,8;1,7
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Total;0,0;0,0
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Total;0,0;0,0
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Estadual;0,0;0,0
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Estadual;0,0;0,0
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Municipal;0,0;--
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Municipal;0,0;--
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Pública;0,0;0,0
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Pública;0,0;0,0
2021;Sudeste;SP;3502705;Apiaí;Total;Total;0,9;1,4
2021;Sudeste;SP;3502705;Apiaí;Urbana;Total;0,7;1,5
2021;Sudeste;SP;3502705;Apiaí;Rural;Total;1,4;0,9
2021;Sudeste;SP;3502705;Apiaí;Total;Estadual;1,2;1,4
