NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Pública;6,7;46,7;40,0;6,6
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Pública;6,7;46,7;40,0;6,6
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Total;0,0;0,0;75,0;25,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;0,0;0,0;75,0;25,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;0,0;0,0;66,7;33,3
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;0,0;0,0;66,7;33,3
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;0,0;0,0;75,0;25,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;0,0;0,0;75,0;25,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Total;0,0;44,8;51,7;3,5
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;0,0;42,9;53,6;3,5
2021;Sudeste;SP;3500709;Agudos;Rural;Total;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Estadual;0,0;83,3;16,7;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Estadual;0,0;83,3;16,7;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Municipal;0,0;44,4;50,0;5,6
2021;Sudeste;SP;3500709;Agudos;Urbana;Municipal;0,0;41,2;52,9;5,9
2021;Sudeste;SP;3500709;Agudos;Rural;Municipal;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Pública;0,0;54,2;41,7;4,1
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;0,0;52,2;43,5;4,3
2021;Sudeste;SP;3500709;Agudos;Rural;Pública;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Total;0,0;42,9;57,1;0,0
