CO_MUNICIPIO;TXT_1_CAT1_CATMED;TXT_1_CAT2_CATMED;EVASAO_MED;TDI_MED_CAT_0;TDI_MED_01_CAT_0;TDI_MED_02_CAT_0;TDI_MED_03_CAT_0;IED_MED_CAT_1;IED_MED_CAT_2;IED_MED_CAT_3;IED_MED_CAT_4;IED_MED_CAT_5;IED_MED_CAT_6;TX_1_CAT_MED;TX_2_CAT_MED;TX_3_CAT_MED;TNR_4_CAT_MED;ATU_MED_CAT_0;IRD_EDU_BAS_CAT_1;IRD_EDU_BAS_CAT_2;IRD_EDU_BAS_CAT_3;IRD_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_1;ICG_EDU_BAS_CAT_2;ICG_EDU_BAS_CAT_3;ICG_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_5;ICG_EDU_BAS_CAT_6;AFD_MED_CAT_1;AFD_MED_CAT_2;AFD_MED_CAT_3;AFD_MED_CAT_4;AFD_MED_CAT_5;pib_2021
3505104;94.3;1.1;4.0;13.2;10.0;17.0;13.0;0.0;0.0;17.4;56.5;26.1;0.0;100.0;0.0;0.0;2.2;30.3;0.0;60.0;20.0;20.0;20.0;40.0;0.0;20.0;20.0;0.0;69.0;0.0;31.0;0.0;0.0;109125
3505203;95.4;1.4;3.0;9.5;11.5;8.3;8.2;0.0;5.3;33.0;31.9;18.1;11.7;95.4;4.6;0.0;2.1;26.4;11.1;37.0;44.4;7.5;32.1;35.7;14.3;10.7;7.2;0.0;88.5;0.7;10.8;0.0;0.0;1623406
3505302;98.0;0.3;1.5;6.5;7.2;7.5;4.9;0.0;4.7;29.8;45.8;15.5;4.2;99.6;0.2;0.2;0.5;28.4;0.0;14.8;59.3;25.9;29.6;25.9;11.1;25.9;7.5;0.0;76.5;0.5;23.0;0.0;0.0;1515653
3505351;99.2;0.4;0.0;7.8;5.1;7.1;10.8;0.0;5.5;24.3;37.8;16.2;16.2;100.0;0.0;0.0;1.6;21.3;37.5;50.0;6.3;6.2;68.8;12.5;0.0;6.3;12.4;0.0;78.7;0.0;20.6;0.7;0.0;133738
3505401;93.3;0.3;6.4;10.7;8.8;11.2;12.4;0.0;0.0;25.0;71.4;3.6;0.0;98.3;0.0;1.7;1.6;29.9;10.0;60.0;30.0;0.0;50.0;30.0;10.0;10.0;0.0;0.0;77.0;0.0;23.0;0.0;0.0;125821
3505500;94.8;2.7;2.0;10.7;14.5;9.3;8.3;0.0;13.6;37.7;39.9;7.1;1.7;96.6;1.9;1.5;2.6;32.7;34.2;44.3;19.0;2.5;53.2;19.1;7.4;13.8;6.5;0.0;75.5;2.5;21.0;0.8;0.2;5903516
3505609;93.3;4.4;1.8;12.4;15.2;11.7;9.2;0.0;4.2;35.4;39.6;12.5;8.3;97.2;0.0;2.8;1.4;35.2;5.3;63.2;31.5;0.0;19.0;38.1;38.1;0.0;4.8;0.0;66.3;0.0;33.7;0.0;0.0;624816
3505708;97.2;1.0;1.2;16.4;15.6;17.7;16.1;0.0;5.2;34.3;41.6;11.7;7.2;96.6;1.4;2.0;1.2;34.3;8.2;61.0;30.1;0.7;23.3;24.5;31.4;15.7;3.1;2.0;77.0;3.1;19.6;0.3;0.0;58027667
3505807;93.0;0.4;5.8;2.7;2.7;3.9;1.4;0.0;1.1;18.9;58.9;12.2;8.9;97.9;0.5;1.6;1.3;23.1;17.6;52.9;17.6;11.9;38.9;33.3;5.6;11.1;5.6;5.5;79.9;0.0;20.1;0.0;0.0;1067217
3505906;88.4;4.8;5.6;9.4;15.7;7.9;4.0;0.0;4.9;25.3;55.6;10.2;4.0;94.5;4.9;0.6;0.9;29.5;0.0;24.4;61.0;14.6;40.4;21.3;17.0;14.9;4.3;2.1;75.6;0.7;23.1;0.0;0.6;2416803
3506003;96.4;1.7;1.4;10.7;12.1;11.9;7.8;0.8;4.6;31.8;46.8;12.3;3.7;96.0;0.8;3.2;0.7;32.1;2.6;26.3;62.9;8.2;31.9;38.2;11.2;16.7;1.6;0.4;80.2;1.1;18.0;0.1;0.6;16721368
3506102;93.9;2.4;3.3;8.4;10.6;7.0;7.1;0.0;6.3;27.3;49.1;12.5;4.8;97.9;1.1;1.0;0.6;30.1;7.0;35.1;35.1;22.8;24.6;44.3;8.2;19.7;1.6;1.6;66.4;1.0;29.0;3.6;0.0;4080485
3506201;90.3;0.0;9.7;3.8;3.1;0.0;6.5;0.0;42.8;0.0;42.9;14.3;0.0;100.0;0.0;0.0;3.9;26.0;0.0;25.0;25.0;50.0;50.0;25.0;25.0;0.0;0.0;0.0;66.7;0.0;33.3;0.0;0.0;210460
3506300;93.6;0.4;4.5;5.5;3.5;7.8;4.7;0.0;0.0;42.8;42.9;8.6;5.7;99.2;0.4;0.4;2.0;23.0;0.0;8.3;66.7;25.0;38.5;38.5;15.4;0.0;7.6;0.0;73.1;0.0;26.9;0.0;0.0;377950
3506359;96.5;1.7;0.9;17.8;19.5;16.6;16.7;0.4;3.4;15.0;57.5;14.5;9.2;91.6;0.5;7.9;1.4;30.4;2.1;16.7;54.2;27.0;11.5;38.5;15.4;25.0;5.8;3.8;64.2;2.4;33.2;0.2;0.0;2067677
3506409;97.2;0.6;2.2;10.7;10.0;14.1;7.1;3.9;3.8;7.7;61.5;15.4;7.7;98.9;0.0;1.1;1.0;26.7;0.0;50.0;25.0;25.0;25.0;50.0;0.0;25.0;0.0;0.0;74.7;0.0;20.3;5.0;0.0;292577
