UF_CODE;CO_MUNICIPIO;TXT_MED_TX_PROMOCAO_TOTAL;TXT_MED_TX_REPETENCIA_TOTAL;TXT_MED_TX_EVASAO_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;ATU_MED_MEDIA_TOTAL_ALUNOS_SALA;HAD_MED_MEDIA_TOTAL_HORAS_AULA;TDI_MED_TX_DIST_IDADE_SERIE_TOTAL;TNR_MED_TX_N_RESP_TOTAL;AFD_MED_ADEQ_DOC_GRUPO1;AFD_MED_ADEQ_DOC_GRUPO2;AFD_MED_ADEQ_DOC_GRUPO3;AFD_MED_ADEQ_DOC_GRUPO4;AFD_MED_ADEQ_DOC_GRUPO5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_MEDIA_BAIXA;IRD_PERC_REG_DOC_MEDIA_ALTA;IRD_PERC_REG_DOC_ALTA;TXR_MED_TX_APROVACAO_TOTAL;TXR_MED_TX_REPROVACAO_TOTAL;TXR_MED_TX_ABANDONO_TOTAL;DSU_MED_PERC_DOC_SUPERIOR_TOTAL;ANO;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2021
31;3129509;74.5;6.1;15.1;26.1;43.5;13.0;8.7;8.7;0.0;25.7;5.1;13.4;4.1;59.0;2.6;25.3;10.3;2.8;0.0;5.9;23.9;47.8;17.9;4.5;0.0;18.2;40.9;40.9;93.1;0.7;6.2;97.3;2021;1534749;0.0423
31;3129608;89.2;3.9;5.4;11.1;44.4;22.2;11.1;11.2;0.0;21.4;4.4;22.3;0.4;78.4;0.0;8.1;13.5;0.0;0.0;2.8;21.6;45.9;29.7;0.0;0.0;55.6;44.4;0.0;93.9;1.8;4.3;100.0;2021;114963;0.13647
31;3129657;95.5;0.7;3.8;53.8;15.4;7.7;23.1;0.0;0.0;23.2;4.3;20.5;2.5;75.2;6.8;11.3;6.7;0.0;2.4;7.1;14.3;61.9;14.3;0.0;23.1;61.5;15.4;0.0;98.5;0.0;1.5;100.0;2021;51265;0.17247
31;3129707;78.3;0.5;14.8;37.5;50.0;0.0;0.0;0.0;12.5;28.0;4.4;11.8;0.8;74.8;2.1;15.4;7.7;0.0;0.0;8.8;20.6;41.2;23.5;5.9;25.0;50.0;25.0;0.0;85.0;11.1;3.9;100.0;2021;728305;0.03567
31;3129806;80.0;8.5;8.9;16.3;32.5;30.0;8.8;8.8;3.6;28.2;5.7;26.9;1.6;69.7;4.5;11.9;13.0;0.9;0.8;9.7;23.2;42.2;16.2;7.9;4.1;21.9;64.4;9.6;90.6;5.7;3.7;99.3;2021;3203506;0.05428
31;3129905;96.3;0.9;0.0;33.3;33.3;0.0;0.0;33.4;0.0;22.8;4.3;8.0;1.5;70.6;0.0;11.8;17.6;0.0;0.0;0.0;0.0;50.0;22.2;27.8;0.0;33.3;66.7;0.0;95.6;0.7;3.7;100.0;2021;77638;0.06062
31;3130002;89.9;7.0;3.1;33.3;33.3;33.4;0.0;0.0;0.0;20.2;4.4;19.8;0.0;71.0;0.0;23.2;5.8;0.0;0.0;0.0;23.1;69.2;7.7;0.0;0.0;33.3;0.0;66.7;96.7;0.0;3.3;100.0;2021;59358;0.07493
31;3130051;91.5;3.1;2.8;61.1;11.1;0.0;22.2;5.6;0.0;23.2;4.2;25.0;2.3;61.4;0.0;24.1;14.5;0.0;1.3;4.2;11.1;65.3;16.7;1.4;5.6;27.8;22.2;44.4;95.4;2.8;1.8;100.0;2021;111447;0.11869
31;3130101;84.8;2.1;9.6;3.6;50.0;21.4;10.7;10.7;3.6;26.0;4.4;22.6;2.3;70.6;4.8;12.1;10.8;1.7;1.5;1.6;21.7;48.8;18.6;7.8;3.8;50.0;46.2;0.0;88.4;3.5;8.1;97.1;2021;967312;0.05718
31;3130200;73.3;7.1;19.6;12.5;62.5;0.0;25.0;0.0;0.0;19.6;4.8;18.7;3.8;73.4;0.0;19.4;7.2;0.0;5.3;7.9;10.5;55.3;18.4;2.6;0.0;75.0;25.0;0.0;89.5;1.3;9.2;100.0;2021;578190;0.02476
31;3130309;97.4;0.5;2.1;16.7;50.0;16.7;16.6;0.0;0.0;30.0;4.3;22.9;4.3;68.4;0.0;17.7;13.9;0.0;0.0;6.2;56.3;37.5;0.0;0.0;16.7;66.7;16.6;0.0;89.9;5.0;5.1;100.0;2021;587430;0.05341
31;3130408;94.3;0.0;5.7;25.0;25.0;0.0;25.0;25.0;0.0;31.9;4.4;25.1;1.6;71.6;4.5;18.2;5.7;0.0;0.0;4.5;36.4;45.5;9.1;4.5;0.0;50.0;50.0;0.0;92.4;7.2;0.4;100.0;2021;494882;0.05025
31;3130507;84.8;3.8;6.0;16.7;33.3;33.3;0.0;16.7;0.0;25.8;4.4;17.6;0.9;71.5;0.0;19.6;8.9;0.0;3.0;9.4;9.4;53.1;18.8;6.3;0.0;20.0;60.0;20.0;91.8;2.1;6.1;100.0;2021;265384;0.04796
31;3130556;92.7;0.0;7.3;80.0;0.0;10.0;10.0;0.0;0.0;27.4;4.4;22.4;4.6;58.9;0.0;18.9;22.2;0.0;0.0;10.0;0.0;75.0;15.0;0.0;20.0;40.0;40.0;0.0;91.8;4.3;3.9;100.0;2021;101174;0.1822
